Time-sensor (s),NO-600-Resistance (ohm)-Right,NO-600-Resistance (ohm)-left,Time-gas (s),NO concentration (ppm),NO2 concentration (ppm),DC mode NOx sensing at 600 C,AC-time/s,AC-NO-600C-Right,AC-NO-600C-Left,Time-gas (s),NO concentration (ppm),NO2 concentration (ppm),AC mode NOx calibration-600C,Time-DC,Temp-DC,CO2-DC,TIME-sensor,Resistance,Soot oxidation,Time,CO2,Temp,Time-sensor, Z/ohm,Soot oxidation,Time-T (s),Temp-DC,Time-CO2,CO2-DC,Time-sensor,Resistance,dR,Soot oxidation,Time-CO2,CO2-AC,Time-Temp,Temp,time/s-Sensor, Z/ohm,dz/dt-ac,Soot oxidation
1,110.3509159,119.047619,41.8,-0.01,0.91,For page 4 data ,2,0.714,0.28157458,41.8,-0.01,0.91,For page 5 data ,46.1,216.5273,-0.92,10,1694.915254,DC mode,46,-2.41,217.7793,,,AC mode,23,410.6243,46,-0.61,1,192.5256832,-0.016619022,DC mode,46,-0.01,23,411.3986,2,922.95563,0.19006,AC mode
2,110.6439478,119.0192811,83.66046512,0.28,3.17,,3,0.721,0.28157152,83.66046512,0.28,3.17,,92.2,216.4717,-0.96,20,1697.792869,For page 7 data,92,5.71,217.4604,2,4840,For page 7 data,46,410.657,92,-0.97,2,192.5090642,0.073595414,For page 9 data,92,-0.55,46,410.7349,4,923.14569,0.54297,For page 9 data
3,110.631707,119.0051172,125.5209302,0.19,2.66,,4,0.716,0.281568176,125.5209302,0.19,2.66,,138.3,216.4105,-1.09,30,1703.577513,,138,6.04,218.3357,4,4870,,69,410.6665,138,-1.14,3,192.5826596,0.064165207,,138,-0.5,69,410.4955,6,923.68866,0.01697,
4,110.619469,119.0051172,167.3813954,-0.23,0.22,,6,0.721,0.281564547,167.3813954,-0.23,0.22,,184.4,216.3326,-1.09,40,1709.401709,,184,1.33,219.6344,6,4940,,92,410.6671,184,-0.88,4,192.6468248,-0.059399271,,184,-0.25,92,410.6818,8,923.70563,0.16211,
5,110.631707,119.0051172,209.2418605,-0.05,2.24,,8,0.719,0.281560633,209.2418605,-0.05,2.24,,230.5,216.3696,-1.13,50,1712.328767,,230,-0.09,220.8804,8,5020,,115,410.6934,230,-0.81,5,192.5874255,0.02850411,,230,-0.21,115,410.976,10,923.86774,-0.09058,
6,110.631707,118.9909567,251.1023256,0.51,2.99,,10,0.719,0.281556434,251.1023256,0.51,2.99,,276.6,216.3102,-1.04,60,1712.328767,,276,-0.44,222.2716,10,5120,,138,410.7037,276,-0.89,6,192.6159297,-0.085498149,,276,-0.18,138,411.2604,12,923.77716,-0.06262,
7,110.619469,118.9909567,292.9627907,0.06,2.23,,12,0.719,0.281551951,292.9627907,0.06,2.23,,322.7,216.2138,-1.11,70,1715.265866,,322,-0.51,223.7444,12,5260,,161,410.7002,322,-0.99,7,192.5304315,-0.137594267,,322,-0.26,161,411.4666,14,923.71454,0.16376,
8,110.6072337,119.0051172,334.8232558,-0.09,-0.46,,14,0.72,0.281547183,334.8232558,-0.09,-0.46,,368.8,216.1052,-1.12,80,1715.265866,,368,-0.43,225.2026,14,5450,,184,410.1001,368,-1.04,8,192.3928372,0.068779949,,368,-0.25,184,411.4462,16,923.8783,0.49469,
9,110.6072337,118.9909567,376.683721,0.14,1.78,,16,0.721,0.281542131,376.683721,0.14,1.78,,414.9,217.1275,-1.16,90,1712.328767,,414,-0.2,226.6943,16,5620,,207,409.6583,414,-1.09,9,192.4616172,0.137692699,,414,-0.25,207,411.4934,18,924.37299,0.58282,
10,110.619469,119.0051172,418.5441861,0.22,4.04,,18,0.721,0.281536794,418.5441861,0.22,4.04,,461,218.8419,-1.07,100,1718.213058,,460,0.19,228.2397,18,5800,,230,409.6864,460,-1.01,10,192.5993099,0,,460,-0.34,230,411.4479,20,924.95581,0.76373,
