model,MAE,RMSE,R2
KNN(k=5),0.30918200158227727,0.5876953541765932,0.9997850479373119
RandomForest,0.33411390997339235,0.6634961362042874,0.9997260231310758
GradientBoosting,0.4080320947143659,0.6973434551921832,0.9996973570508423
HistGradientBoosting,0.5162132792736588,0.7995567513311669,0.9996021350410436
DecisionTree,0.7652556750886214,1.0616962690882268,0.9992984838328077
SVR(RBF),1.1304256511880966,1.7512983579156673,0.998091213376869
Ridge,15.79969514474633,18.067482968242633,0.7968427105245559
Lasso,15.799694737226204,18.06748301485598,0.7968427094762813
ElasticNet,15.799694510678602,18.067483040769613,0.7968427088935168
LinearRegression,15.799694122637828,18.067483085156383,0.7968427078953152
