model,MAE,RMSE,R2
HistGradientBoosting,5.955080324116468,10.6224274917392,0.9297761473146594
KNN(k=5),5.936710147759495,10.772653893093882,0.9277758373030218
RandomForest,5.999574330987702,11.719382630213413,0.9145235317139155
DecisionTree,6.271226243811496,11.894396562356183,0.9119515064968672
SVR(RBF),7.100312189367477,11.986921335284011,0.9105763459007404
GradientBoosting,6.246991924688459,12.883232858823336,0.8967032125832197
Lasso,24.219615840877864,27.39011431419406,0.5330990135680305
ElasticNet,24.219615832480002,27.390114327317594,0.5330990131206144
Ridge,24.219615825365313,27.39011433843588,0.5330990127415625
LinearRegression,24.219615823841355,27.39011434081741,0.5330990126603696
