model,MAE,RMSE,R2
KNN(k=5),0.2939832182278471,0.5708972407152904,0.9997971602858844
RandomForest,0.3090973799815845,0.6167912362179192,0.9997632371873741
GradientBoosting,0.4061418954631452,0.6958498346625368,0.9996986521074445
HistGradientBoosting,0.48222928787403274,0.7615858403308767,0.9996390269128792
DecisionTree,0.7795016820174941,1.0780892040649983,0.9992766533142039
SVR(RBF),2.772940223570842,4.539130587281272,0.987177212170487
Lasso,22.437173971666496,24.701264162789055,0.620269516539944
ElasticNet,22.43717397166542,24.70126416279025,0.6202695165399073
Ridge,22.437173971664347,24.701264162791443,0.6202695165398706
LinearRegression,22.43717397166435,24.701264162791443,0.6202695165398705
