model,Z,T,cumZ
KNN(k=5),0.9277758373030218,0.9997850479373119,0.9997971602858844
RandomForest,0.9145235317139155,0.9997260231310758,0.9997632371873741
GradientBoosting,0.8967032125832197,0.9996973570508423,0.9996986521074445
HistGradientBoosting,0.9297761473146594,0.9996021350410436,0.9996390269128792
DecisionTree,0.9119515064968672,0.9992984838328077,0.9992766533142039
SVR(RBF),0.9105763459007404,0.998091213376869,0.987177212170487
Lasso,0.5330990135680305,0.7968427094762813,0.620269516539944
ElasticNet,0.5330990131206144,0.7968427088935168,0.6202695165399073
Ridge,0.5330990127415625,0.7968427105245559,0.6202695165398706
LinearRegression,0.5330990126603696,0.7968427078953152,0.6202695165398705
