Time,Temp,Z,cumZ,Soot
46.1,217.77860673913045,6361.5,0.0,100.0037612
92.2,217.46420565217392,6762.0,302496.675,100.0078625
138.3,218.3441697826087,7081.5,621589.3500000001,100.0122239
184.4,219.6452347826087,7248.0,951884.3250000001,100.0166653
230.5,220.89552173913043,7340.0,1288137.725,100.0210066
276.6,222.29081043478263,7854.000000000001,1638359.4250000003,100.025308
322.7,223.76659,7349.5,1988800.1,100.0297694
368.8,225.22854260869565,7326.0,2327070.375,100.0343309
414.9,226.72453608695653,9030.0,2704076.175,100.0387923
461.0,228.27393913043477,9030.0,3120359.175,100.0426135
507.1,229.85075130434782,8909.0,3533853.125,100.0458545
553.2,231.3635043478261,8876.0,3943797.375,100.0482553
599.3,232.9476136956522,8967.0,4355078.524999999,100.0492156
645.4,234.57085913043477,9213.0,4774127.524999999,100.0488955
691.5,236.14896630434782,8700.0,5187022.175,100.047275
737.6,237.69481913043478,8792.0,5590212.775,100.044114
783.7,239.2688654347826,9030.0,6001009.875000001,100.0394125
829.8,240.85116043478263,8519.0,6405514.325,100.0329704
875.9,242.42228934782608,8420.5,6795969.800000001,100.0246878
922.0,243.98328695652174,8500.0,7185987.325000001,100.0145846
968.1,245.51842260869566,8378.5,7575036.750000001,100.0025408
1014.2,247.1086347826087,8728.32,7969348.951000001,99.98847635
1060.3,248.70344999999998,8766.98,8372615.616,99.97225122
1106.4,250.24836347826087,8668.16,8774495.593000002,99.95394543
1152.5,251.8062706521739,8528.5,9170878.606,99.93377905
1198.6,253.41084739130434,8620.16,9566155.219,99.91167205
1244.7,254.99542195652174,8511.539999999999,9961040.904000001,99.88786452
1290.8,256.53438695652176,8288.800000000001,10348288.741,99.86257652
1336.9,258.15301695652175,8088.2599999999975,10725779.974000001,99.83566801
1383.0,259.7283086956522,7697.6,11089644.047,99.80711897
1429.1,261.29977152173916,7688.9,11444302.872,99.77708947
1475.2,262.8827930434782,7665.44,11798220.409,99.74575956
1521.3,264.4632319565217,7678.54,12151899.148,99.71314924
1567.4,266.0612943478261,7584.68,12503716.369,99.67937856
1613.5,267.6201065217391,7481.7,12850996.428,99.6447476
1659.6,269.20799913043476,7383.84,13193647.124999998,99.60955646
1705.7,270.7996832608696,6939.580000000001,13523801.955999998,99.57376514
1751.8,272.34908739130435,6626.359999999999,13836496.872999998,99.5375937
1797.9,273.92356173913043,6950.56,14149444.878999999,99.5012622
1844.0,275.51136086956524,7114.4,14473642.206999999,99.46465062
1890.1,277.10464456521737,7179.160000000001,14803108.764999999,99.42767892
1936.2,278.6744995652174,7072.12,15131600.769,99.39048715
1982.3,280.26347326086955,7096.6,15458189.764999999,99.35315534
2028.4,281.8477408695652,7079.119999999999,15784940.111,99.31592356
2074.5,283.4192728260869,7032.1,16110203.731999999,99.27903189
2120.6,284.97072,6874.84,16430758.699,99.24230026
2166.7,286.5542343478261,6921.9800000000005,16748775.399999999,99.20590875
2212.8,288.1193,6681.599999999999,17062337.919,99.16977732
2258.9,289.6880954347826,6540.4,17367105.018999998,99.13370591
2305.0,291.2706456521739,6403.0,17665450.389,99.09777454
2351.1,292.865257826087,6299.200000000001,17958236.099,99.06210325
2397.2,294.4290252173913,6101.04,18244061.630999997,99.02703215
2443.3,296.02693260869563,6130.139999999999,18525990.33,98.9924212
2489.4,297.54722217391304,6032.799999999999,18806346.097,98.95787027
2535.5,299.1454945652174,5916.8,19081784.377,98.92315929
2581.6,300.75938,5838.0,19352732.517,98.88866838
2627.7,302.34746347826086,5817.099999999999,19621382.572,98.85495771
