model,MAE,RMSE,R2
RandomForest,4.212094104879604,7.070949657004477,0.9713641410691735
HistGradientBoosting,5.151171116495269,7.445731826870144,0.9682481156409366
KNN(k=5),4.300768020899469,7.694481417608175,0.9660911208771541
DecisionTree,4.402267552907362,8.397134271116386,0.9596152945947951
GradientBoosting,4.59157573042759,8.655602335694148,0.9570909089679401
SVR(RBF),5.917808671669886,10.085473789018268,0.9417431049683465
LinearRegression,12.69321348114527,13.951008975919773,0.8885279571514559
Lasso,12.701778493351252,13.958574545384979,0.8884070227936082
ElasticNet,39.33428758613854,41.16026247403105,0.029688910352163367
Ridge,39.961144246285805,41.796018977411734,-0.0005172004870765967
