model,MAE,RMSE,R2
HistGradientBoosting,0.7215844828544168,1.099527898751373,0.9993075837834849
RandomForest,0.5805124297220693,1.4549034278905981,0.9987876638423344
KNN(k=5),0.8690514942295366,1.9060651757092544,0.997919200583643
GradientBoosting,0.6845391786439591,1.9211378757075526,0.997886161554024
DecisionTree,1.1157799862948243,2.8013369827581216,0.9955054581002143
SVR(RBF),2.159536459274248,3.2444446442219643,0.9939711363572802
Lasso,8.009901782424848,9.83182644005831,0.944636551899167
LinearRegression,8.039724879538625,10.072106919936612,0.9418974251854765
ElasticNet,18.053163936855217,20.07839097057971,0.7691060586678339
Ridge,18.146472416406194,20.176842774655462,0.7668361898679789
