model,MAE,RMSE,R2
RandomForest,0.7049172752448118,2.0050479704564674,0.9976974755059822
GradientBoosting,0.7031494616876549,2.182096736504327,0.9972728895759182
HistGradientBoosting,0.9205838055757369,2.22830596593308,0.9971561651636475
DecisionTree,0.9652811537494729,2.3033532363903664,0.9969613840399938
KNN(k=5),1.0685197881872304,3.637660409446441,0.9924212247050677
SVR(RBF),4.163448048713653,9.093463500591838,0.9526398161328418
Ridge,18.15246451340077,20.183178675969543,0.7666897313900384
ElasticNet,18.152424213519673,20.18326881225685,0.7666876474994185
Lasso,18.152423079528226,20.183271348901247,0.7666875888537636
LinearRegression,18.152420107529505,20.183277997096567,0.7666874351515507
