model,MAE,RMSE,R2
RandomForest,30.85140846448039,37.277847067489056,0.20410391490854085
DecisionTree,30.81715001984574,37.569271930805044,0.19161121195770225
GradientBoosting,30.919234231406516,38.12954359987256,0.16732037548813705
SVR(RBF),28.73849669497082,40.52312725626757,0.05949603524493963
Ridge,40.00135957446853,41.83684732887901,-0.002472861373830959
Lasso,40.00135957496705,41.83684732893348,-0.0024728613764413154
ElasticNet,40.00135957496705,41.83684732893348,-0.0024728613764413154
LinearRegression,40.48511384975412,42.16696379145023,-0.01835543569715803
KNN(k=5),29.504508221068942,42.75905505746251,-0.04715488241944232
HistGradientBoosting,34.29014027767477,43.91181223359036,-0.10437723391967957
