model,MAE,RMSE,R2
RandomForest,65.16324089409838,168.41640002436128,0.39929381847988865
KNN(k=5),64.8698474576271,181.15220796242318,0.3050067208233921
HistGradientBoosting,84.99000310235702,184.47827475950103,0.2792514154246434
DecisionTree,65.90630312085722,185.04447110833624,0.27482041713732897
GradientBoosting,67.12839048186189,196.80911635714546,0.17967912346850745
Lasso,98.90939077165056,213.21258835879544,0.03723780993456893
LinearRegression,98.9380070846413,213.22461956065155,0.037129153000694526
ElasticNet,103.51227827394366,217.19634888593313,0.0009243319596343724
Ridge,103.66032978939457,217.3687114749704,-0.0006619893406154542
SVR(RBF),84.75665546720579,223.75931336206648,-0.06036548417465615
