model,MAE,RMSE,R2
KNN(k=5),37.79461016949153,130.8456072325999,0.6374134957080225
HistGradientBoosting,49.472693698894645,135.61342016165332,0.6105078767954824
RandomForest,45.21350629405433,168.216045913157,0.4007222110166546
GradientBoosting,47.582762757201806,206.57018452675993,0.0962909817047134
ElasticNet,93.20370527806371,211.20297656909347,0.055301098250905345
Ridge,93.19356504373629,211.20708638132896,0.05526433198043312
Lasso,96.27434256138746,212.35862302306754,0.044934532368973046
SVR(RBF),65.58595968546709,216.75581821860524,0.004972992359240425
DecisionTree,53.71157462149125,230.4358791420178,-0.12458825022395836
LinearRegression,138.72340599353723,275.1777776895541,-0.6036886639590686
