model,MAE,RMSE,R2
RandomForest,27.233093211326327,105.72625614998394,0.7632668653122312
DecisionTree,33.0660069878085,129.61713671459495,0.6441899683777732
GradientBoosting,22.47530500349896,129.8940731554075,0.6426679160975768
KNN(k=5),38.06042372881356,129.96991469619263,0.6422505217268415
HistGradientBoosting,55.17726865836201,130.44895407040494,0.6396084962531261
LinearRegression,93.19272014504247,211.20733171318628,0.05526213722556328
Lasso,93.19273077607905,211.20733293262717,0.05526212631635863
ElasticNet,93.19273649705869,211.20733358886113,0.05526212044564327
Ridge,93.19290720114181,211.20735317127526,0.05526194525997208
SVR(RBF),66.28358596085623,215.71337676778944,0.014520723723189355
