model,MAE,RMSE,R2
KNN(k=5),76.88505084745763,168.93960206826299,0.3955557159039381
RandomForest,82.30311963424613,194.55874925866834,0.19833140125219062
HistGradientBoosting,95.10709212448722,197.89726251308824,0.17058303410093223
Ridge,103.67003874614278,217.37987455325646,-0.0007647709680311809
Lasso,103.67003878195922,217.37987467854842,-0.0007647721216592629
ElasticNet,103.67003878195922,217.37987467854842,-0.0007647721216592629
SVR(RBF),72.6930845928477,219.77970613469535,-0.022983238762476654
GradientBoosting,82.6379221967039,225.1586339496913,-0.07366934011413262
DecisionTree,82.08501132030835,225.25997988451977,-0.07463609417280215
LinearRegression,143.94019314594186,278.1669490298588,-0.6387186469541246
