model,I,dIdt,cumI,all
LinearRegression,0.8885279571514559,-0.01835543569715803,0.7666874351515507,0.9418974251854765
Ridge,-0.0005172004870765967,-0.002472861373830959,0.7666897313900384,0.7668361898679789
Lasso,0.8884070227936082,-0.0024728613764413154,0.7666875888537636,0.944636551899167
ElasticNet,0.029688910352163367,-0.0024728613764413154,0.7666876474994185,0.7691060586678339
SVR(RBF),0.9417431049683465,0.05949603524493963,0.9526398161328418,0.9939711363572802
KNN(k=5),0.9660911208771541,-0.04715488241944232,0.9924212247050677,0.997919200583643
DecisionTree,0.9596152945947951,0.19161121195770225,0.9969613840399938,0.9955054581002143
RandomForest,0.9713641410691735,0.20410391490854085,0.9976974755059822,0.9987876638423344
GradientBoosting,0.9570909089679401,0.16732037548813705,0.9972728895759182,0.997886161554024
HistGradientBoosting,0.9682481156409366,-0.10437723391967957,0.9971561651636475,0.9993075837834849
