model,I,dIdt,cumI,all
LinearRegression,0.037129153000694526,-0.6387186469541246,0.05526213722556328,-0.6036886639590686
Ridge,-0.0006619893406154542,-0.0007647709680311809,0.05526194525997208,0.05526433198043312
Lasso,0.03723780993456893,-0.0007647721216592629,0.05526212631635863,0.044934532368973046
ElasticNet,0.0009243319596343724,-0.0007647721216592629,0.05526212044564327,0.055301098250905345
SVR(RBF),-0.06036548417465615,-0.022983238762476654,0.014520723723189355,0.004972992359240425
KNN(k=5),0.3050067208233921,0.3955557159039381,0.6422505217268415,0.6374134957080225
DecisionTree,0.27482041713732897,-0.07463609417280215,0.6441899683777732,-0.12458825022395836
RandomForest,0.39929381847988865,0.19833140125219062,0.7632668653122312,0.4007222110166546
GradientBoosting,0.17967912346850745,-0.07366934011413262,0.6426679160975768,0.0962909817047134
HistGradientBoosting,0.2792514154246434,0.17058303410093223,0.6396084962531261,0.6105078767954824
