Time,Temp,I,dIdt,cumI,CO2,rate,extent
46.1,375.0972,0.00868622,1.493000000000232e-07,0.3135746,0.0,0.0,0.0
92.2,374.6624,0.008701440000000001,2.5460000000002146e-07,0.7143444000000001,0.0,0.0,0.0
138.3,375.1366,0.00870168,-8.319999999998212e-08,1.1156049,0.0,0.0,0.0
184.4,375.223,0.00869844,-4.560000000003797e-08,1.5167084,0.0,0.0,0.0
230.5,374.9882,0.008699,1.0500000000028716e-08,1.9177294999999996,0.0,0.0,0.0
276.6,374.8638,0.00869934,3.399999999979786e-09,2.3187717,0.0,0.0,0.0
322.7,374.722,0.00869873,-3.2699999999939366e-08,2.71980595,0.0,0.0,0.0
368.8,374.5268,0.00869788,6.880000000009102e-08,3.1207779999999996,0.0,0.0,0.0
414.9,374.3285,0.00870149,2.000000000448267e-10,3.521877349999999,0.0,0.0,0.0
461.0,374.1474,0.0086999,-7.100000000001203e-08,3.9230044999999993,0.0,0.0,0.0
507.1,374.038,0.00869629,-7.290000000002587e-08,4.3239851499999995,0.0,0.0,0.0
553.2,373.8571,0.00869468,3.704000000000228e-07,4.7248224,0.0,0.0,0.0
599.3,373.6658,0.008921019999999998,4.920000000000005e-06,5.1278796,0.0,0.0,0.0
645.4,373.5651,0.008938,-5.8400000000033173e-08,5.539890200000001,0.0,0.0,0.0
691.5,373.3946,0.0089387,-1.1999999999993788e-08,5.951917000000001,3.55,3.55,0.00768943852369712
737.6,373.2488,0.008932240000000001,-1.7000000000003125e-07,6.363847000000001,7.8,7.8,0.03227398140932031
783.7,373.1665,0.00892726,-1.2110000000000693e-07,6.7754549000000015,6.57,6.57,0.06339996213763793
829.8,372.9892,0.00891704,-1.7039999999994742e-07,7.186776399999999,5.65,5.65,0.08986895897132205
875.9,372.8753,0.00891141,-2.0769999999999636e-07,7.59773285,4.92,4.92,0.11276399142075262
922.0,372.7764,0.0088974,-2.860000000000189e-07,8.008258,4.32,4.32,0.13277819197257276
968.1,372.6236,0.00888738,-1.9810000000002137e-07,8.4181728,3.88,3.88,0.15053971194280272
1014.2,372.4541,0.00887674,-2.7260000000005177e-07,8.8276463,3.0,3.0,0.1654420604056298
1060.3,372.4131,0.00886291,-2.7849999999998646e-07,9.23654845,3.13,3.13,0.17871987960288704
1106.4,372.3227,0.00885372,-2.2919999999994014e-07,9.644885600000002,2.81,2.81,0.1915861513862
1152.5,372.1476,0.00884075,-2.92500000000041e-07,10.052743750000003,2.5,2.5,0.2030878185864343
1198.6,371.9729,0.008827419999999999,-2.199999999999945e-07,10.459970100000003,2.32,2.32,0.21352812666649623
1244.7,371.8511,0.00881859,-2.1470000000002082e-07,10.866711950000004,2.32,2.32,0.22357854772282149
1290.8,371.8186,0.00880776,-2.399999999999694e-07,11.273000200000004,1.86,1.86,0.23263259082959725
1336.9,371.7577,0.00879731,-2.200000000000214e-07,11.678777750000004,2.12,2.12,0.2412534261322211
1383.0,371.6272,0.0087857,-2.0299999999994802e-07,12.084081500000003,2.3,2.3,0.25082731860397917
1429.1,371.5795,0.00877536,-3.4550000000000595e-07,12.488930700000003,2.41,2.41,0.26102936239175756
1475.2,371.5092,0.00876144,-2.240000000000052e-07,12.893109800000003,2.1,2.1,0.2707981983753841
1521.3,371.4065,0.00875274,-1.9520000000000196e-07,13.296797600000003,1.97,1.97,0.27961397718987624
1567.4,371.3554,0.00874052,-2.3520000000003588e-07,13.700038400000006,1.89,1.89,0.2879748878100089
1613.5,371.2928,0.008728300000000001,-2.3649999999998325e-07,14.102758000000003,1.56,1.56,0.2954477224316301
1659.6,371.1825,0.00872208,-1.7880000000005848e-07,14.504995800000003,1.78,1.78,0.3026822927609676
1705.7,371.0583,0.00871086,-2.4429999999997415e-07,14.906837700000004,1.78,1.78,0.31039339167487234
1751.8,370.9662,0.00870046,-2.3820000000002872e-07,15.308179100000004,1.65,1.65,0.3178229055160783
1797.9,370.994,0.00868963,-2.3000000000002186e-07,15.709009950000006,1.57,1.57,0.3247975511629247
1844.0,370.9166,0.0086782,-2.540000000000181e-07,16.109332000000002,1.61,1.61,0.3316855552489407
1890.1,370.803,0.00866697,-2.1979999999999415e-07,16.509126550000005,1.4,1.4,0.33820533270142755
1936.2,370.7397,0.00865838,-1.600000000000039e-07,16.908442700000005,2.05,2.05,0.3456781673230487
1982.3,370.6816,0.00864931,-2.222999999999808e-07,17.307396550000007,1.68,1.68,0.3537574928704825
2028.4,370.6229,0.00863932,-2.1320000000012145e-07,17.705886000000007,1.58,1.58,0.3608187800781593
2074.5,370.5742,0.0086301,-1.789999999999301e-07,18.103915000000008,1.64,1.64,0.36779342572500573
2120.6,370.4827,0.00862094,-1.6880000000002814e-07,18.501552300000004,1.63,1.63,0.3748763733228901
2166.7,370.4272,0.00861466,-1.600000000000039e-07,18.898835500000004,1.48,1.48,0.38161275467745287
2212.8,370.387,0.00860672,-1.7560000000002264e-07,19.295778200000008,1.42,1.42,0.3878942678376562
2258.9,370.3662,0.008597220000000001,-2.2000000000000403e-07,19.692342200000006,1.46,1.46,0.39413246021744425
2305.0,370.3029,0.008588499999999999,-1.749999999999582e-07,20.088467500000007,1.52,1.52,0.4005872564993083
2351.1,370.2543,0.00858089,4.979999999999057e-08,20.48420855000001,1.4,1.4,0.4069120904399268
2397.2,370.1842,0.00858564,6.544000000000005e-07,20.880017200000008,1.38,1.38,0.41293367891763894
2443.3,370.1019,0.00871583,4.778700000000069e-06,21.277630850000012,1.23,1.23,0.4185870407618219
2489.4,373.3953,0.00895194,4.897800000000015e-06,21.684832300000018,0.44,0.44,0.42220432592649065
2535.5,381.8493,0.0091612,4.450999999999982e-06,22.102484500000013,0.0,0.0,0.42315738309562495
2581.6,390.2745,0.00937004,4.591599999999981e-06,22.529586000000013,0.0,0.0,0.42315738309562495
2627.7,398.4439,0.009583189999999998,4.916999999999994e-06,22.966442850000007,0.77,0.77,0.42482523314160997
2673.8,406.9441,0.009819240000000002,5.0765999999999736e-06,23.41371500000001,2.51,2.51,0.4319298411297019
2719.9,415.371,0.010069400000000001,5.300300000000096e-06,23.871821000000015,4.52,4.52,0.4471570954456429
2766.0,423.4746,0.010306000000000001,5.719999999999944e-06,24.34132500000002,6.7,6.7,0.47146005325856727
2812.1,432.0128,0.0105726,5.779000000000006e-06,24.82271400000002,9.26,9.26,0.5060300360298928
2858.2,440.0957,0.010839199999999998,5.617999999999951e-06,25.316349000000017,11.93,11.93,0.551928402879792
2904.3,448.26,0.0111201,6.300000000000056e-06,25.822262500000015,14.88,14.88,0.6099999090263613
2950.4,456.4907,0.0113816,3.9680000000000025e-06,26.341235000000015,17.8,17.8,0.6807860642247898
2996.5,464.4043,0.0114765,9.70000000000042e-07,26.868712500000015,21.08,21.08,0.7650016613519287
3042.6,471.9717,0.0115,2.739999999999731e-07,27.398375000000012,23.18,23.18,0.860870548410755
3088.7,474.6274,0.0115013,1.0000000000001327e-07,27.928618500000006,21.97,21.97,0.9586672101980578
3134.8,474.8384,0.0115052,-1.4800000000002144e-07,28.459049000000014,19.93,19.93,1.0494242451678921
3180.9,475.2515,0.0114891,-5.089999999998083e-07,28.98906150000001,18.64,18.64,1.1329683701985955
3227.0,475.3223,0.01146,-7.000000000000669e-07,29.51799500000001,17.52,17.52,1.211292341189268
3273.1,475.1157,0.01143,2.775999999999992e-06,30.04555800000001,16.46,16.46,1.284894347114684
3319.2,474.7671,0.011447200000000003,-5.675999999999869e-06,30.57668700000001,15.5,15.5,1.3541209542181654
3365.3,474.4453,0.0111988,-4.588000000000041e-06,31.098235000000013,33.48,33.48,1.460213545454979
3411.4,474.1885,0.0110144,-3.7999999999999962e-06,31.61007500000001,159.83,159.83,1.8789305485580456
3457.5,473.9688,0.010839999999999999,-3.4250000000000206e-06,32.11370000000001,165.62,165.62,2.5838679478643054
3503.6,473.751,0.0106892,-3.1279999999999834e-06,32.609941000000006,156.49,156.49,3.281570776841227
3549.7,473.5645,0.0105609,-2.89700000000012e-06,33.09970250000001,149.87,149.87,3.945158491241183
3595.8,473.3218,0.010406799999999999,-3.283999999999962e-06,33.58310300000001,145.0,145.0,4.583858417292616
3641.9,473.1167,0.010274299999999998,-2.9380000000000285e-06,34.05967850000001,141.29,141.29,5.203973728545924
3688.0,472.9229,0.010126,-3.040000000000039e-06,34.52990500000001,137.63,137.63,5.808125332216233
3734.1,472.7544,0.00999483,-3.0892000000000296e-06,34.99369015,134.77,134.77,6.398154361471187
3780.2,472.5952,0.0098484,-2.8491999999999883e-06,35.4509468,132.29,132.29,6.976616742355285
3826.3,472.4878,0.00972062,-2.7000000000000114e-06,35.901971200000006,130.22,130.22,7.545223645694932
3872.4,472.354,0.00960572,-2.3559999999999996e-06,36.34737,127.85,127.85,8.104213335782399
3918.5,472.2305,0.00950075,-2.458499999999971e-06,36.787775749999994,125.57,125.57,8.653130944423335
