model,MAE,RMSE,R2
KNN(k=5),6.918147161229932,12.371191765461006,0.8617234261838034
DecisionTree,6.740529951121994,13.434184365945926,0.8369397362358018
HistGradientBoosting,8.58422464166913,13.480648102545882,0.8358098587734067
RandomForest,7.770803784365271,14.582809793111188,0.8078643496431868
GradientBoosting,8.477593816965543,18.23780313419115,0.6994819381868811
SVR(RBF),10.024690907622666,19.267614530859262,0.6645858109120627
LinearRegression,17.820689921663764,21.938880569355458,0.5651349948116959
Lasso,17.75503905050463,21.974179410006194,0.5637345058990207
ElasticNet,27.37949946767912,33.05187655794167,0.012998582347145904
Ridge,27.607052288195526,33.255178609589116,0.0008191503723511406
