model,MAE,RMSE,R2
GradientBoosting,0.6857745359666241,1.5642688263577442,0.9977892058163645
DecisionTree,0.798789361024354,1.5731802888830437,0.9977639447774226
RandomForest,0.8662403310261034,2.0721690002616944,0.9961204989210477
HistGradientBoosting,2.7471034126664473,4.586536906001069,0.9809937990283658
KNN(k=5),2.569017690678475,6.812124431659455,0.9580733003975347
Lasso,10.613421983205017,14.27078337294408,0.8159985863226265
LinearRegression,10.785759073621316,14.448786267606128,0.8113797717766353
SVR(RBF),6.32558893216813,14.585206011995767,0.8078012017442211
ElasticNet,14.71970868452191,18.293829946558155,0.6976327098773224
Ridge,14.761626969709019,18.34406967600477,0.6959696672061153
