model,MAE,RMSE,R2
GradientBoosting,0.6106528340551958,1.442643291702837,0.9981196293946265
DecisionTree,0.7437258633024376,1.4906118903362044,0.9979925039719407
RandomForest,0.6690889597635256,1.8568968469918885,0.9968846912860992
KNN(k=5),0.7313634316739199,1.9711030830716034,0.996489700220715
HistGradientBoosting,3.152900969517865,7.005194856558433,0.9556630338234415
SVR(RBF),5.031079022204712,8.919280350495638,0.9281237911367058
LinearRegression,14.76453858694577,18.347473419581828,0.6958568310341863
ElasticNet,14.764529642980992,18.34747462392644,0.6958567911057241
Lasso,14.764528833970422,18.34747473286587,0.6958567874939805
Ridge,14.764472449589618,18.347482326497776,0.695856535737037
