model,MAE,RMSE,R2
HistGradientBoosting,21.885876440242175,30.35686932841177,0.1673940795933968
RandomForest,24.708918606994185,31.249140294416943,0.117729659001652
KNN(k=5),22.41233040593263,31.26051850165343,0.11708705045085832
Ridge,27.62228929614571,33.26882594923188,-1.1103515249466511e-06
Lasso,27.622289297349496,33.26882595039206,-1.1104212707113703e-06
ElasticNet,27.622289297349496,33.26882595039206,-1.1104212707113703e-06
LinearRegression,27.415779244412793,33.40142580890264,-0.007988423136637612
DecisionTree,27.256219015915462,35.39483421344487,-0.13189279961882905
GradientBoosting,28.36370698197048,36.49543632664142,-0.20337962194486692
SVR(RBF),23.51003301413961,37.83709481283594,-0.2934841125391039
