model,MAE,RMSE,R2
HistGradientBoosting,114.54027086468692,248.2985660915573,0.21384397405429312
RandomForest,107.49711446934204,249.84657575786352,0.2040108868192153
KNN(k=5),103.21187096774193,250.26397153573404,0.20134909313556248
Lasso,138.6868334140907,272.7140183581031,0.05163558493514564
LinearRegression,138.72437768523682,272.7154071890911,0.051625925576603726
ElasticNet,150.71188651334634,279.85778382754035,0.0012998711135505658
Ridge,150.9689786226751,280.02867903985924,7.978583304446563e-05
SVR(RBF),104.55720808108954,291.75697282260575,-0.08543247994067493
GradientBoosting,154.86839425071105,408.29801544070705,-1.1257630927696356
DecisionTree,153.90564235026213,414.63136092800556,-1.192222439804239
