model,MAE,RMSE,R2
GradientBoosting,39.86210434285136,113.28181097481618,0.8363633081402114
RandomForest,50.38944991061537,122.45159467630492,0.8087994156909382
DecisionTree,47.78932908311537,128.044191504634,0.7909355986845424
HistGradientBoosting,91.86840761012255,200.81361957645433,0.48578273637689473
KNN(k=5),78.8996935483871,212.07612473438596,0.4264861867579024
LinearRegression,121.94597138136088,254.15502153068036,0.17632152995450223
Lasso,126.45321791277657,263.0131817616969,0.11790501124381947
ElasticNet,130.95710297248397,263.35931294854487,0.11558177035027106
Ridge,130.997254788333,263.3647591593857,0.11554519083538217
SVR(RBF),99.78725819160624,286.3157800518022,-0.04532393225735909
