model,MAE,RMSE,R2
GradientBoosting,32.13837828596514,90.50162719457816,0.8955585001063637
DecisionTree,35.81253823549056,92.86769908886562,0.8900260825517087
RandomForest,40.55793095198529,110.47375785753502,0.8443752814915924
KNN(k=5),54.00945161290322,149.62433614696292,0.7145271586326973
HistGradientBoosting,92.47371748721396,235.57077295423667,0.292375047912553
Ridge,130.9999724786695,263.3651278899546,0.11554271422648221
ElasticNet,131.00016548225824,263.3651326060318,0.11554268255054334
Lasso,131.00017408465166,263.36513281628254,0.11554268113837585
LinearRegression,131.00018274251866,263.3651330278936,0.11554267971707222
SVR(RBF),103.96196802895996,289.68134930514447,-0.07004340339985271
