model,MAE,RMSE,R2
RandomForest,125.6420613316516,265.49653630973893,0.101168997258547
LinearRegression,132.95029030012103,266.2175837826392,0.09628019605998483
KNN(k=5),117.48156451612904,267.37676938267487,0.08839296566901722
GradientBoosting,130.37136808101397,278.41334989578996,0.011582476734793956
DecisionTree,130.22404024863803,279.72084352727273,0.002277001949956059
Ridge,150.98609423753365,280.0401251022782,-1.9585306585412354e-06
Lasso,150.986094282717,280.04012514052846,-1.958803835799827e-06
ElasticNet,150.986094282717,280.04012514052846,-1.958803835799827e-06
HistGradientBoosting,137.54674947989878,286.9686006756699,-0.05009619449427971
SVR(RBF),101.88977774665398,288.4133590825502,-0.06069633924816498
