model,I,dIdt,cumI,all
LinearRegression,0.5651349948116959,-0.007988423136637612,0.6958568310341863,0.8113797717766353
Ridge,0.0008191503723511406,-1.1103515249466511e-06,0.695856535737037,0.6959696672061153
Lasso,0.5637345058990207,-1.1104212707113703e-06,0.6958567874939805,0.8159985863226265
ElasticNet,0.012998582347145904,-1.1104212707113703e-06,0.6958567911057241,0.6976327098773224
SVR(RBF),0.6645858109120627,-0.2934841125391039,0.9281237911367058,0.8078012017442211
KNN(k=5),0.8617234261838034,0.11708705045085832,0.996489700220715,0.9580733003975347
DecisionTree,0.8369397362358018,-0.13189279961882905,0.9979925039719407,0.9977639447774226
RandomForest,0.8078643496431868,0.117729659001652,0.9968846912860992,0.9961204989210477
GradientBoosting,0.6994819381868811,-0.20337962194486692,0.9981196293946265,0.9977892058163645
HistGradientBoosting,0.8358098587734067,0.1673940795933968,0.9556630338234415,0.9809937990283658
