model,I,dIdt,cumI,all
LinearRegression,0.051625925576603726,0.09628019605998483,0.11554267971707222,0.17632152995450223
Ridge,7.978583304446563e-05,-1.9585306585412354e-06,0.11554271422648221,0.11554519083538217
Lasso,0.05163558493514564,-1.958803835799827e-06,0.11554268113837585,0.11790501124381947
ElasticNet,0.0012998711135505658,-1.958803835799827e-06,0.11554268255054334,0.11558177035027106
SVR(RBF),-0.08543247994067493,-0.06069633924816498,-0.07004340339985271,-0.04532393225735909
KNN(k=5),0.20134909313556248,0.08839296566901722,0.7145271586326973,0.4264861867579024
DecisionTree,-1.192222439804239,0.002277001949956059,0.8900260825517087,0.7909355986845424
RandomForest,0.2040108868192153,0.101168997258547,0.8443752814915924,0.8087994156909382
GradientBoosting,-1.1257630927696356,0.011582476734793956,0.8955585001063637,0.8363633081402114
HistGradientBoosting,0.21384397405429312,-0.05009619449427971,0.292375047912553,0.48578273637689473
