Time,Temp,I,dIdt,cumI,CO2,rate,extent
46.1,367.141,0.00911751,-4.573000000000025e-07,0.32959285,0.0,0.0,0.0
92.2,366.3787,0.00911466,2.741999999999988e-07,0.7497091000000001,0.0,0.0,0.0
138.3,366.8001,0.00913449,2.835999999999801e-07,1.17036305,0.0,0.0,0.0
184.4,367.0645,0.00914044,1.0119999999992981e-07,1.5916232,0.0,0.0,0.0
230.5,367.0171,0.009144,6.149999999990798e-08,2.0130969999999997,0.0,0.0,0.0
276.6,366.8875,0.00914998,1.7340000000001104e-07,2.4347317,0.0,0.0,0.0
322.7,366.887,0.00915754,1.1999999999998122e-07,2.856726599999999,0.0,0.0,0.0
368.8,366.9001,0.00916188,2.4000000000065397e-09,3.278991199999999,0.0,0.0,0.0
414.9,366.8225,0.00916149,2.4899999999981337e-08,3.701291349999999,0.0,0.0,0.0
461.0,366.7593,0.009162,9.999999999940611e-10,4.123626999999999,0.0,0.0,0.0
507.1,366.7218,0.00916129,4.130000000002628e-08,4.545971649999999,0.0,0.0,0.0
553.2,366.643,0.009164,-3.200000000008797e-09,4.968379799999999,0.0,0.0,0.0
599.3,366.6176,0.00916207,7.900000000021472e-09,5.390791249999999,0.0,0.0,0.0
645.4,366.6211,0.00916554,4.8842000000000125e-06,5.813213699999999,0.0,0.0,0.0
691.5,366.584,0.009447249999999999,3.989999999999931e-06,6.244153249999999,0.0,0.0,0.0
737.6,366.5944,0.009548280000000001,2.6600000000004137e-07,6.683215999999999,73.42,73.42,0.12740613125087435
783.7,366.4921,0.00952643,-2.0437000000000928e-06,7.1235984499999985,242.36,242.36,0.6753809082380864
829.8,366.4509,0.00946994,2.457799999999986e-06,7.5602712999999975,141.66,141.66,1.341772933884513
875.9,366.441,0.009590439999999999,-1.779999999998961e-08,8.001125099999998,28.95,28.95,1.6378334085877502
922.0,366.4358,0.0095608,-5.560000000000461e-07,8.442616999999997,12.81,12.81,1.7102997670872941
968.1,366.3752,0.00955176,9.969999999995082e-08,8.883069299999999,10.26,10.26,1.750333265425045
1014.2,366.3826,0.00956312,3.4160000000006675e-07,9.3234204,8.98,8.98,1.7837205436226318
1060.3,366.3876,0.00958682,2.2479999999999389e-07,9.7645152,8.04,8.04,1.8132554435666508
1106.4,366.3396,0.009599,5.395999999999377e-07,10.206243600000002,7.43,7.43,1.8401006199552512
1152.5,366.2997,0.00960325,4.2249999999996287e-07,10.648796250000002,6.91,6.91,1.8649849011066748
1198.6,366.2913,0.009621,-2.0240000000006058e-07,11.0922106,6.46,6.46,1.888185935904062
1244.7,366.3077,0.009625,3.607000000000107e-07,11.535437499999999,6.07,6.07,1.9099293140649645
1290.8,366.3271,0.00962476,-1.2679999999992022e-07,11.979138799999996,5.8,5.8,1.9305273905829146
1336.9,366.3129,0.00962269,1.2449999999996102e-07,12.422660249999996,5.54,5.54,1.950205755175463
1383.0,366.2866,0.0096203,-1.0700000000003242e-07,12.866326499999994,5.3,5.3,1.9690164670081993
1429.1,366.2472,0.00961818,-5.089999999996582e-08,13.309797899999992,5.32,5.32,1.987445411626618
1475.2,366.2576,0.009612,-8.000000000004532e-08,13.753097399999994,5.22,5.22,2.005735531803466
1521.3,366.2237,0.009617,2.090000000008003e-08,14.196262099999995,4.85,4.85,2.0232100583860912
1567.4,366.2266,0.009615180000000001,1.4800000000063208e-08,14.639484899999996,4.62,4.62,2.039643401656941
1613.5,366.2294,0.009615,4.749999999998245e-08,15.082772499999995,4.43,4.43,2.055347916609548
1659.6,366.2172,0.00961708,1.1999999999943072e-08,15.526132799999994,4.38,4.38,2.0706359582374447
1705.7,366.1693,0.00961857,-2.569999999997145e-08,15.969540449999997,4.25,4.25,2.0856116448718094
1751.8,366.1338,0.00961618,-1.9999999999983573e-08,16.412914699999995,4.17,4.17,2.1002229173470526
1797.9,366.0929,0.00961521,-5.4200000000043095e-08,16.85623745,4.04,4.04,2.1144697756631743
1844.0,366.1007,0.0096166,-1.2179999999999657e-06,17.299485999999995,3.88,3.88,2.128213395378605
1890.1,366.1372,0.00945484,-2.898700000000075e-06,17.739914699999993,3.81,3.81,2.141557894824522
1936.2,366.121,0.00942776,-1.6659999999998867e-07,18.174853599999995,0.0,0.0,2.1481694088542937
1982.3,366.1124,0.009421539999999999,-1.6459999999999643e-07,18.609323299999993,0.0,0.0,2.1481694088542937
2028.4,366.108,0.00941232,-2.0000000000002654e-07,19.043444199999993,0.0,0.0,2.1481694088542937
2074.5,366.1559,0.00940355,-1.3000000000000858e-07,19.477140749999993,0.0,0.0,2.1481694088542937
2120.6,366.2025,0.00939794,-1.699999999999445e-07,19.910543499999992,0.0,0.0,2.1481694088542937
2166.7,366.1142,0.00939033,-1.2660000000005777e-07,20.34361634999999,0.0,0.0,2.1481694088542937
2212.8,366.1288,0.009386,-6.720000000001012e-08,20.77641579999999,0.0,0.0,2.1481694088542937
2258.9,366.1498,0.00938222,-1.1670000000005922e-07,21.209063699999994,0.0,0.0,2.1481694088542937
2305.0,366.1701,0.00938,-6.500000000000429e-08,21.641504999999995,0.0,0.0,2.1481694088542937
2351.1,366.1681,0.00937489,-1.0670000000004141e-07,22.073801949999993,0.0,0.0,2.1481694088542937
2397.2,366.1609,0.00937272,5.539999999999631e-07,22.50589699999999,0.0,0.0,2.1481694088542937
2443.3,366.9984,0.009463870000000001,3.482099999999992e-06,22.939412649999994,0.0,0.0,2.1481694088542937
2489.4,373.4673,0.009660880000000002,4.720400000000013e-06,23.38003219999999,0.0,0.0,2.1481694088542937
2535.5,382.5567,0.009882750000000001,4.891999999999965e-06,23.830687749999992,0.0,0.0,2.1481694088542937
2581.6,391.1415,0.010117999999999999,5.049599999999991e-06,24.291690999999993,0.0,0.0,2.1481694088542937
2627.7,399.8027,0.010366199999999999,5.853999999999946e-06,24.763619999999992,0.0,0.0,2.1481694088542937
2673.8,408.5559,0.010652800000000002,6.162000000000035e-06,25.247982999999998,0.0,0.0,2.1481694088542937
2719.9,417.1581,0.0109491,6.797999999999864e-06,25.745384499999997,0.0,0.0,2.1481694088542937
2766.0,425.6377,0.011271999999999999,6.779999999999981e-06,26.257564999999996,0.0,0.0,2.1481694088542937
2812.1,434.1987,0.0115789,6.936999999999988e-06,26.7838955,0.31,0.31,2.148707353565378
2858.2,442.5698,0.011881,6.335999999999961e-06,27.324917999999997,2.02,2.02,2.152750615426104
2904.3,450.9099,0.012055800000000002,3.77199999999995e-06,27.878033000000006,3.83,3.83,2.162902152715911
2950.4,459.1699,0.012332000000000001,5.883999999999997e-06,28.440217000000004,5.87,5.87,2.1797346162562743
2996.5,467.2883,0.0125595,2.884999999999919e-06,29.014532500000005,8.27,8.27,2.204271836303773
3042.6,471.5601,0.0126,-1.2600000000001582e-07,29.59498500000001,10.56,10.56,2.2369476392383136
3088.7,472.1938,0.0125813,-2.130000000000188e-07,30.17546450000001,10.59,10.59,2.273649350978384
3134.8,472.499,0.0125552,-8.479999999999825e-07,30.75518900000002,9.35,9.35,2.3082513430397085
3180.9,472.5854,0.0125191,-7.089999999999293e-07,31.33318850000002,8.37,8.37,2.3390009568474652
3227.0,472.4331,0.012483,-7.700000000000155e-07,31.909570000000016,7.78,7.78,2.3670261409894104
3273.1,472.0874,0.0124469,-8.689999999999697e-07,32.484354500000016,7.09,7.09,2.3928301340662355
3319.2,471.8091,0.01242,-5.000000000000664e-07,33.05738900000002,6.46,6.46,2.4163435238571553
3365.3,471.5029,0.0123847,-1.1529999999999814e-06,33.62921550000002,6.05,6.05,2.4380521959076655
3411.4,471.2529,0.01233,-7.999999999998703e-07,34.19873700000002,5.55,5.55,2.4581817399353167
3457.5,470.9849,0.0123,-9.000000000000327e-07,34.76647500000002,5.2,5.2,2.4768362742712866
3503.6,470.7175,0.0122564,-8.639999999999733e-07,35.33244300000002,4.92,4.92,2.494397566129892
3549.7,470.5793,0.0122203,-5.999999999999929e-07,35.89655750000002,4.55,4.55,2.5108309094007417
3595.8,470.4001,0.0121942,-5.419999999999469e-07,36.45935600000002,4.31,4.31,2.52620571630462
3641.9,470.303,0.01217,1.4519999999999935e-06,37.02099800000001,4.09,4.09,2.540782282669471
3688.0,470.179,0.012268,-1.820000000000016e-06,37.58516500000001,3.96,3.96,2.5547514921024526
3734.1,470.0215,0.0120777,-3.2950000000000083e-06,38.14578250000002,73.58,73.58,2.6893070820941825
3780.2,469.8982,0.011929200000000001,-3.5159999999999317e-06,38.69935700000001,208.19,208.19,3.1782641183589435
3826.3,469.7505,0.0117374,-3.810999999999948e-06,39.24493700000002,155.24,155.24,3.8089262033562963
3872.4,469.637,0.0116124,-2.575999999999994e-06,39.782951000000025,84.18,84.18,4.224393050864935
3918.5,469.5342,0.011493,-2.275000000000029e-06,40.31562500000003,73.06,73.06,4.497252490770784
3964.6,469.4075,0.011376200000000001,-2.5999999999999514e-06,40.84300000000004,69.74,69.74,4.745054118973247
4010.7,469.3135,0.0112779,-2.1070000000000177e-06,41.36501050000005,67.46,67.46,4.983138036265809
4056.8,469.2209,0.0111764,-2.0000000000000363e-06,41.882399000000056,65.56,65.56,5.21396837648634
4102.9,469.1108,0.0110842,-1.9710000000000303e-06,42.39550700000005,63.76,63.76,5.438378086284254
4149.0,468.9651,0.011011,-1.6999999999999742e-06,42.904560000000046,62.27,62.27,5.657078640922606
4195.1,468.8879,0.010914899999999998,-1.8490000000000258e-06,43.40979150000004,60.79,60.79,5.870625338167672
4241.2,468.8398,0.010837600000000001,-1.8240000000000544e-06,43.91122100000004,59.8,59.8,6.079885830779259
4287.3,468.7488,0.010742699999999999,-1.9269999999999936e-06,44.408613500000044,58.65,58.65,6.285432769578852
4333.4,468.6609,0.0106734,-1.56799999999997e-06,44.90207000000004,57.63,57.63,6.487214095400856
4379.5,468.5923,0.010590500000000001,-1.6199999999999548e-06,45.39227750000004,56.78,56.78,6.685750399901165
4425.6,468.6111,0.010518799999999998,-1.4560000000000234e-06,45.87888700000005,56.01,56.01,6.88147550945968
4471.7,468.5815,0.010454900000000001,-1.6999999999999655e-06,46.36238150000004,55.2,55.2,7.074458836297184
4517.8,468.4282,0.0103822,-1.3999999999999934e-06,46.842378000000046,54.34,54.34,7.264544202916919
4563.9,468.3882,0.0103161,-1.3999999999999595e-06,47.31935350000005,53.71,53.71,7.4520439643124075
4610.0,468.3696,0.01025,-1.4000000000000124e-06,47.79337500000005,52.84,52.84,7.636940767428463
4656.1,468.29,0.010177799999999999,-1.6610000000000507e-06,48.264273000000045,52.24,52.24,7.819286671430669
4702.2,468.1958,0.0101078,-1.1779999999999847e-06,48.73170600000004,51.52,51.52,7.999341972146967
4748.3,468.1665,0.0100534,-1.4660000000000966e-06,49.196573000000036,50.8,50.8,8.176898432915008
4794.4,468.1919,0.009979960000000001,-1.4663999999999962e-06,49.658367600000034,50.18,50.18,8.35212958428675
4840.5,468.0762,0.00992545,-1.2160000000000382e-06,50.11711525000004,49.64,49.64,8.525347781255729
4886.6,468.0007,0.00989492,4.105999999999599e-07,50.57349380000004,49.02,49.02,8.69655302382194
4932.7,467.9343,0.009920729999999999,8.839999999996651e-08,51.03050535000003,31.16,31.16,8.835689820385479
4978.8,467.8738,0.009921,-4.639999999997479e-08,51.48783480000003,8.58,8.58,8.90465086173538
5024.9,467.9097,0.00991153,-3.8409999999996554e-07,51.94502635000003,5.14,5.14,8.928459253464636
5071.0,467.8113,0.0098907,-3.229999999999553e-07,52.401449500000034,3.84,3.84,8.94404229703087
5117.1,467.7676,0.00987987,-2.884000000000347e-07,52.85716655000004,3.0,3.0,8.955911786785107
5163.2,467.6863,0.009866680000000001,-1.7720000000002043e-07,53.31229280000004,2.29,2.29,8.965091552983923
5209.3,467.708,0.00986014,-1.492999999999748e-07,53.76703230000004,1.78,1.78,8.972154246448797
5255.4,467.6511,0.00985338,-3.1240000000002474e-07,54.221468900000026,1.25,1.25,8.97741222217326
5301.5,467.6514,0.0098376,2.5499999999997744e-07,54.67528850000003,0.89,0.89,8.981125775985259
5347.6,467.5706,0.00985572,9.479999999999833e-08,55.12946440000003,0.54,0.54,8.983607262878323
5393.7,467.6504,0.00991165,3.652599999999988e-06,55.58433475000004,0.2,0.2,8.984891388962845
5439.8,471.9038,0.0101884,7.112000000000051e-06,56.04691500000004,0.1,0.1,8.985411980618732
5485.9,481.063,0.010531299999999997,7.1410000000001e-06,56.524642500000034,1.48,1.48,8.98815376333974
5532.0,490.0142,0.010852,6.699999999999953e-06,57.01743500000004,4.58,4.58,8.998669714788669
5578.1,498.2319,0.011148600000000002,6.681000000000023e-06,57.52454800000004,8.21,8.21,9.020864272384674
5624.2,506.6006,0.011473599999999999,7.200000000000089e-06,58.04591100000003,12.13,12.13,9.056160386653847
5670.3,514.9285,0.011792100000000002,6.799999999999946e-06,58.58239250000005,16.66,16.66,9.106119832563854
5716.4,523.2889,0.012114799999999997,6.9359999999999705e-06,59.13351700000004,21.39,21.39,9.172148207585588
5762.5,531.2665,0.012424999999999999,6.424999999999985e-06,59.69924500000005,26.33,26.33,9.2549569869821
5808.6,539.4061,0.012730200000000002,6.985999999999977e-06,60.27880800000005,30.69,30.69,9.353904107711122
5854.7,547.6896,0.0130429,7.194000000000003e-06,60.873056500000054,34.88,34.88,9.467688090632938
5900.8,555.6445,0.013397200000000003,8.10799999999995e-06,61.482493000000055,38.57,38.57,9.595146281049402
5946.9,563.475,0.013771399999999998,6.110000000000013e-06,62.109189000000036,41.84,41.84,9.734682197882455
5993.0,569.7784,0.01392,9.599999999999798e-07,62.74845500000005,44.67,44.67,9.884803478385223
6039.1,570.8045,0.01391,-6.819999999999399e-07,63.390026000000056,43.86,43.86,10.038430076037631
6085.2,570.7731,0.0138648,-1.052000000000006e-06,64.03024300000006,39.59,39.59,10.183241321650344
6131.3,570.8115,0.013808699999999998,-1.3000000000000102e-06,64.66819150000006,36.63,36.63,10.31550630835617
6177.4,570.5616,0.0137526,-1.3000000000000407e-06,65.30348200000006,34.85,34.85,10.439545946898969
6223.5,570.3011,0.013693,-1.4650000000000514e-06,65.93611000000007,33.37,33.37,10.557928489447795
6269.6,570.0197,0.013620799999999999,-1.4000000000000124e-06,66.56564300000008,32.14,32.14,10.671608354038435
6315.7,569.8011,0.0135643,-1.2429999999999439e-06,67.19216550000007,31.04,31.04,10.781244956768345
6361.8,569.5836,0.0135082,-1.19999999999997e-06,67.81605400000007,30.12,30.12,10.887376242348617
6407.9,569.3545,0.0134521,-1.0209999999998971e-06,68.43738950000007,29.42,29.42,10.990696332987095
6454.0,569.0967,0.013402,-1.0000000000000112e-06,69.05644500000007,28.65,28.65,11.091465524511724
6500.1,568.9622,0.0133499,-1.3010000000000027e-06,69.67327950000006,27.95,27.95,11.189683816922505
6546.2,568.8293,0.0133,-9.379999999999736e-07,70.28745500000005,27.46,27.46,11.28583709576493
6592.3,568.6833,0.013257699999999999,-9.230000000000176e-07,70.89968150000004,26.98,26.98,11.38030712825332
6638.4,568.5383,0.01322,2.21200000000001e-06,71.50994300000004,26.4,26.4,11.472937736890906
6684.5,568.3687,0.0129665,-1.762000000000004e-05,72.12024250000003,25.88,25.88,11.563659509456906
6730.6,568.45,0.012029799999999995,-1.8145999999999955e-05,72.69596800000005,157.94,157.94,11.882643370074392
6776.7,568.2928,0.011289500000000003,-1.496499999999997e-05,73.23285550000006,1097.57,1097.57,14.061336803018868
6822.8,568.2481,0.010636399999999999,-1.30600000000001e-05,73.73795300000006,888.54,888.54,17.507844448601485
6868.9,568.1136,0.010092100000000005,-1.1157400000000062e-05,74.21544650000006,675.34,675.34,20.221654044632746
6915.0,567.9808,0.009601499999999999,-1.004999999999999e-05,74.66899250000006,566.7,566.7,22.376972912227913
6961.1,567.9099,0.009160219999999997,-9.354699999999967e-06,75.10134420000007,494.57,494.57,24.21860060104045
7007.2,567.8033,0.008751680000000001,-8.26559999999995e-06,75.51377540000006,444.2,444.2,25.847653363698875
7053.3,567.736,0.008378259999999998,-7.6072000000000125e-06,75.90850950000006,401.73,401.73,27.315600361915337
7099.4,567.6321,0.008050140000000003,-6.7471999999999555e-06,76.28711670000006,372.56,372.56,28.65923007270584
7145.5,567.5158,0.0077481500000000005,-6.32650000000002e-06,76.65121325000007,346.63,346.63,29.907244449365017
7191.6,567.4773,0.007474399999999998,-5.680800000000047e-06,77.00201140000009,325.84,325.84,31.07418535214731
7237.7,567.4189,0.007227730000000001,-4.903700000000034e-06,77.34066955000007,308.99,308.99,32.17580935517089
7283.8,567.341,0.007014759999999999,-4.336799999999966e-06,77.66883420000008,293.74,293.74,33.22173005101454
7329.9,567.2633,0.006836310000000001,-3.5108000000000177e-06,77.98784985000007,280.78,280.78,34.21869777814953
7376.0,567.2335,0.006675,-3.4020000000000146e-06,78.29925600000009,269.56,269.56,35.173705817820014
7422.1,567.181,0.006533329999999999,-2.81740000000002e-06,78.60354355000008,259.42,259.42,36.0916477315913
7468.2,567.0814,0.00640686,-2.61800000000001e-06,78.90177710000007,250.66,250.66,36.97679237104166
7514.3,566.9966,0.00628996,-2.452799999999992e-06,79.19440340000007,241.46,241.46,37.830770923359566
7560.4,566.9416,0.006182160000000001,-2.1080000000000042e-06,79.48182900000005,234.14,234.14,38.656082228493254
7606.5,566.9285,0.00609035,-1.926999999999992e-06,79.76468275000005,227.6,227.6,39.45734219912495
7652.6,566.8911,0.006009619999999999,-1.559199999999992e-06,80.04347690000006,220.83,220.83,40.23550525329044
7698.7,566.8752,0.0059419500000000005,-1.4299999999999643e-06,80.31896325000005,215.73,215.73,40.99307023093795
7744.8,566.8499,0.0058758,-1.5452000000000189e-06,80.59137240000007,209.95,209.95,41.731755084531976
7790.9,566.8113,0.005808740000000001,-1.2855000000000125e-06,80.86059770000007,205.06,205.06,42.451924228231576
7837.0,566.7145,0.005750900000000001,-1.7080000000000307e-06,81.12701950000006,200.62,200.62,43.15590297143309
7883.1,566.6821,0.005584009999999999,-3.301300000000018e-06,81.38930335000008,195.2,195.2,43.8427716022111
7929.2,566.6366,0.00553364,-6.048000000000367e-07,81.64527040000007,124.96,124.96,44.39834701737426
7975.3,566.5938,0.00551041,-4.6999999999998433e-07,81.89982065000007,42.74,42.74,44.68935775301539
8021.4,566.551,0.0054903,-4.2720000000004147e-07,82.15339390000007,30.17,30.17,44.81587887845126
8067.5,566.5038,0.005471,-3.5250000000004247e-07,82.40604500000006,25.91,25.91,44.913194811991836
8113.6,566.4644,0.00545756,-1.9999999999997103e-07,82.65794520000007,22.78,22.78,44.99768683774238
8159.7,566.4678,0.00544418,-3.781999999999963e-07,82.90935090000005,20.42,20.42,45.07265203619018
8205.8,566.3893,0.0054338400000000005,-1.9999999999998318e-07,83.16004720000005,18.4,18.4,45.140016596462026
8251.9,566.392,0.00542224,-3.380999999999874e-07,83.41029990000004,16.63,16.63,45.200804348814486
8298.0,566.399,0.0054066,-2.5199999999997796e-07,83.65986000000005,15.14,15.14,45.25593500517298
8344.1,566.3377,0.005402280000000001,1.04930000000004e-06,83.90889230000006,14.07,14.07,45.30662327940123
8390.2,568.0638,0.005529600000000003,3.103999999999993e-06,84.16030880000004,13.03,13.03,45.35365005898308
8436.3,576.3596,0.005688459999999997,4.051199999999983e-06,84.41849790000005,14.22,14.22,45.40093713439285
8482.4,585.6071,0.005870119999999999,3.5864000000000086e-06,84.68499200000005,18.75,18.75,45.45815015737489
8528.5,593.8925,0.0060297,3.5460000000000072e-06,84.95918250000005,23.85,23.85,45.53207417251092
8574.6,601.9599,0.006197320000000002,3.5328000000000177e-06,85.24100040000005,27.85,27.85,45.62178946787554
8620.7,610.0041,0.006373730000000003,3.916499999999964e-06,85.53046335000006,31.69,31.69,45.72510955851402
8666.8,618.0866,0.006543199999999997,3.680000000000046e-06,85.82818980000006,35.2,35.2,45.841184144721744
8712.9,626.0013,0.006706149999999998,3.4173999999999387e-06,86.13365415000005,38.45,38.45,45.96898939624213
8759.0,633.8986,0.0068558000000000004,3.230999999999989e-06,86.44638800000007,41.21,41.21,46.10722383393547
8805.1,641.7089,0.007009340000000001,3.13550000000001e-06,86.76599090000005,43.74,43.74,46.254638037827625
8851.2,649.5446,0.007148760000000001,2.7667999999999406e-06,87.09227400000005,46.48,46.48,46.4111973018082
8897.3,657.4457,0.0072491399999999985,1.9613000000000214e-06,87.42425350000003,49.32,49.32,46.57743957058828
8943.4,665.1937,0.00730896,-2.6060000000001556e-07,87.76031720000005,53.01,53.01,46.75501338441151
8989.5,667.8439,0.0072399,-3.1094999999999996e-06,88.09593600000005,55.9,55.9,46.94400550855388
9035.6,667.6106,0.00710416,-1.4935999999999674e-06,88.42580300000006,52.62,52.62,47.1323208635436
9081.7,667.6052,0.007045619999999999,-1.2434000000000119e-06,88.75200470000007,48.51,48.51,47.307812310743294
9127.8,667.5576,0.006993200000000001,-1.4247999999999808e-06,89.07553880000005,46.0,46.0,47.47181603540305
9173.9,667.484,0.006917540000000001,-1.5437e-06,89.39611240000005,44.0,44.0,47.62799353216931
9220.0,667.2383,0.006863,-1.0499999999999658e-06,89.71350000000007,42.13,42.13,47.777455396574624
9266.1,666.9415,0.006808509999999999,-1.1517000000000188e-06,90.02854295000006,40.27,40.27,47.920444571391734
9312.2,666.7628,0.0067540199999999995,-1.2733999999999866e-06,90.34113830000005,38.57,38.57,48.05725605855898
9358.3,666.5818,0.00670102,-8.13800000000001e-07,90.65112990000006,37.31,37.31,48.18893104138813
9404.4,666.4784,0.0066636,-9.488000000000162e-07,90.95927220000007,36.14,36.14,48.31638923180459
9450.5,666.3255,0.0066225500000000005,-8.389999999999981e-07,91.26546925000008,35.02,35.02,48.439873572581114
9496.6,666.192,0.006581739999999999,-8.301999999999995e-07,91.56984110000009,33.88,33.88,48.559436122883284
9542.7,666.0568,0.0065483799999999995,-6.892000000000288e-07,91.8724619000001,32.92,32.92,48.67535453159423
9588.8,665.9666,0.00651984,-8.991999999999736e-07,92.17365300000009,32.05,32.05,48.78809733120427
9634.9,665.9216,0.006468570000000001,3.980499999999769e-06,92.47293065000008,31.29,31.29,48.898011582817325
9681.0,665.7997,0.0070072,5.874000000000001e-06,92.78191500000007,30.46,30.46,49.00516669865417
9727.1,666.0515,0.006782279999999999,-3.3507999999999697e-06,93.09907190000008,108.53,108.53,49.24635681282687
9773.2,665.8986,0.00668344,-1.2963999999999932e-06,93.40905740000007,1974.5,1974.5,52.861050269371546
9819.3,665.79,0.0066302600000000015,-1.3085999999999465e-06,93.71612340000006,1994.6,1994.6,59.74865140731528
9865.4,665.7024,0.006580600000000001,-1.0422000000000207e-06,94.02051240000006,1712.4,1712.4,66.18142896856554
9911.5,665.6239,0.0065377000000000005,-5.669999999999959e-07,94.32273050000008,1492.07,1492.07,71.74216344703862
9957.6,665.5295,0.00650992,-7.259999999999802e-07,94.62358620000008,1287.69,1287.69,76.5658963182717
10003.7,665.4666,0.006470039999999999,-6.434000000000148e-07,94.92289530000009,1102.03,1102.03,80.71279062463022
10049.8,665.3474,0.006458060000000001,-3.5820000000002416e-07,95.22088310000008,928.34,928.34,84.23610289251131
10095.9,665.2226,0.00643746,-4.800000000000117e-07,95.51814420000008,777.01,777.01,87.19540616040399
10142.0,665.144,0.0064194000000000005,-3.1800000000001966e-07,95.81442200000008,646.34,646.34,89.66535327176238
10188.1,665.1556,0.00641976,-2.8099999999998716e-08,96.11017010000006,528.13,528.13,91.70341754539648
