model,MAE,RMSE,R2,MAE_NO,MAE_NO2,RMSE_NO,RMSE_NO2,R2_NO,R2_NO2
RandomForest,5.327160422913669,14.952649785467926,0.7876659807973891,8.920782580251478,1.7335382655758589,26.09965852842034,3.805641042515513,0.7784899339580497,0.7968420276367287
HistGradientBoosting,7.05900998686011,15.729256193007867,0.7601003518815428,11.8121424677223,2.30587750599792,27.35229844489498,4.106213941120754,0.7567171645624506,0.7634835392006348
KNN(k=5),5.449033166498917,16.207193698209263,0.7470936226593989,9.09028584795269,1.8077804850451449,28.219329024079354,4.195058372339175,0.7410492445250231,0.7531380007937749
GradientBoosting,10.637118366006197,18.812775290598708,0.6504079837419257,18.037466470097,3.2367702619153924,32.60570847409696,5.019842107100459,0.6542906716610828,0.6465252958227686
DecisionTree,11.261233547671234,21.140422217910746,0.5605235080096075,19.02224279309606,3.5002243022464086,36.669390980544705,5.611453455276789,0.5627485986008929,0.5582984174183221
SVR(RBF),10.730853855375408,26.313443018302614,0.3552993822716207,18.054344814297068,3.4073628964537472,46.095082222563036,6.5318038140421955,0.309071664376552,0.40152710016668947
LinearRegression,19.1657346206683,30.31256419420808,0.10158941406595207,33.062051479672036,5.269417761664566,52.63296316952429,7.992165218891866,0.09917701736950602,0.10400181076239812
Lasso(alpha=1e-3),19.170682641110886,30.31505638405452,0.10123325204248113,33.07338550958928,5.267979772632491,52.635096899565546,7.995015868543499,0.09910397751367495,0.1033625265712873
Ridge(alpha=1.0),19.545982915105867,30.8560993609153,0.06896916974942657,33.821006065535705,5.270959764676027,53.57556198624478,8.136636735585826,0.06662258822097589,0.07131575127787726
"ElasticNet(alpha=1e-3,l1=0.5)",19.789498789982346,31.26326483170867,0.04366108804815044,34.25473293004648,5.324264649918209,54.276660546181965,8.249869117235376,0.04203409080849352,0.04528808528780737
