model,MAE,RMSE,R2
RandomForest,0.0010596374669230404,0.008985907421073497,0.9898655250917751
HistGradientBoosting,0.003951617940014422,0.012625666879590138,0.9799928132882171
KNN(k=5),0.0027895557655954624,0.015182992076518274,0.9710670908885974
GradientBoosting,0.007968004366508723,0.016104041736418093,0.9674502882567259
DecisionTree,0.014719913742969791,0.026975765434695778,0.9086675884025346
SVR(RBF),0.011874528486684532,0.03181388569838641,0.8729686817952157
Lasso(alpha=1e-3),0.05632036949611431,0.07587003508219191,0.27753312132565633
"ElasticNet(alpha=1e-3,l1=0.5)",0.05632254024501547,0.0758700758511873,0.27753234488587386
Ridge(alpha=1.0),0.05632471360951173,0.07587011754835611,0.27753155076872793
LinearRegression,0.056324713951735904,0.0758701175555399,0.2775315506319135
