model,MAE,RMSE,R2
RandomForest,0.001083816,0.002605494,0.996086201
GradientBoosting,0.001284461,0.002699425,0.99579892
HistGradientBoosting,0.001506187,0.004163868,0.990004318
SVR(RBF),0.002047233,0.004570677,0.987955758
KNN(k=5),0.002114046,0.005383444,0.983291442
DecisionTree,0.002966232,0.0053864,0.983273093
LinearRegression,0.018414031,0.024437877,0.655693312
Ridge(alpha=1.0),0.020357039,0.025556523,0.623450534
"ElasticNet(alpha=1e-3,l1=0.5)",0.020659387,0.02578968,0.616548525
Lasso(alpha=1e-3),0.020658107,0.025790139,0.616534867
