model,MAE,RMSE,R2,MAE_NO,MAE_NO2,RMSE_NO,RMSE_NO2,R2_NO,R2_NO2
RandomForest,4.147106486776993,11.918224549312683,0.8516463207110463,6.740181261142429,1.5540317124115566,20.441977081359077,3.394472017266288,0.8646760720742892,0.8386165693478034
KNN(k=5),4.2230383870476755,12.755716902477872,0.8301257180504596,6.825495826875281,1.62058094722007,21.87983800833244,3.6315957966232997,0.8449695507035826,0.8152818853973367
HistGradientBoosting,5.384951715504766,12.86755928673166,0.8247567865336598,8.749226995898285,2.020676435111246,22.01832000825005,3.7167985652132716,0.8430009010922641,0.8065126719750555
GradientBoosting,7.956869313176352,15.713781450784438,0.7417647461380794,13.203813529044,2.709925097308704,26.945694565235907,4.481868336332968,0.7648702584898154,0.7186592337863433
DecisionTree,10.414805934059466,20.721163390920097,0.5684356951540848,17.412459429807882,3.417152438311051,35.78378497431098,5.658541807529214,0.5853312075211093,0.5515401827870601
SVR(RBF),12.914243040821148,31.22851858317501,0.09102772519201768,21.804098611715485,4.024387469926811,54.66586036491493,7.791176801435093,0.0322544644899857,0.14980098589404967
LinearRegression,19.254658155033628,30.86840648868198,0.0684663547455795,33.176740173309696,5.3325761367575595,53.57218461916613,8.16462835819783,0.07058962812481384,0.06634308136634515
Lasso(alpha=1e-3),19.253404809319395,30.86848072265895,0.06845878876850015,33.1753245556603,5.331485062978486,53.572281644234444,8.164679801083455,0.07058626159469683,0.06633131594230346
Ridge(alpha=1.0),19.2491580260306,30.868812365133877,0.06844753284598903,33.16678816788444,5.3315278841767615,53.572947520102346,8.164677210165406,0.07056315718298045,0.06633190850899762
"ElasticNet(alpha=1e-3,l1=0.5)",19.241026179823148,30.86961824292946,0.06840468201631722,33.15241656098217,5.32963579866413,53.57440580017813,8.16483068568079,0.07051255710442061,0.06629680692821383
