model,MAE,RMSE,R2,MAE_NO,MAE_NO2,RMSE_NO,RMSE_NO2,R2_NO,R2_NO2
KNN(k=5),17.326409523809527,26.922455829756295,0.2338454203811267,29.07973333333334,5.573085714285717,46.339957072549325,7.504954586963264,0.2822478620797403,0.18544297868251314
RandomForest,16.19224718152958,26.876308049752808,0.23045288770410044,27.07163710938638,5.31285725367278,46.19608131177755,7.556534787728069,0.286697880167872,0.17420789524032887
HistGradientBoosting,18.98261681851182,28.854599541388307,0.15772638064354644,32.27291876793495,5.6923148690886896,50.055943515622566,7.653255567154046,0.1625198073173093,0.15293295396978357
SVR(RBF),14.421835750595541,30.392985409312153,0.0839089649446802,23.59781768581504,5.245853815376043,52.91315737656498,7.872813442059328,0.06418372335751499,0.10363420653184541
Ridge(alpha=1.0),22.122289885557947,30.929340303499274,0.029966300076572694,37.94224807551133,6.302331695604563,53.63251840759892,8.226162199399624,0.038565678811472104,0.021366921341673284
"ElasticNet(alpha=1e-3,l1=0.5)",21.75986210616615,31.062252112128498,0.024284002982844943,37.22896625671935,6.2907579556129445,53.889380710607895,8.2351235136491,0.02933442824864052,0.019233577717049366
Lasso(alpha=1e-3),21.714272275067806,31.08023918365395,0.023630026383528457,37.14085925837681,6.287685291758807,53.92529759384588,8.23518077346202,0.02804011387327565,0.019219938893781263
LinearRegression,21.71372775921709,31.080615360468173,0.02359852395116685,37.14078527952282,6.286670238911364,53.925872434875444,8.235358286060904,0.02801939167332379,0.01917765622900991
GradientBoosting,19.141111459899125,36.66473457223981,-0.44464094788024233,31.94431864316834,6.337904276629911,62.92391228589411,10.405556858585502,-0.3234107999813951,-0.5658710957790896
DecisionTree,20.15574523120989,39.634215039089206,-0.6600193216164779,33.52578490915935,6.785705553260438,68.22311571500444,11.045314363173976,-0.5557017475261252,-0.7643368957068306
