model,MAE,RMSE,R2
SVR(RBF),0.00534145928402443,0.019580209116318255,0.9925431438078769
GradientBoosting,0.003616257127576053,0.028175847528172825,0.9845590117280144
RandomForest,0.0031694579398747987,0.029726286338604684,0.9828129068874514
DecisionTree,0.005459021788115169,0.03024759286488473,0.9822048049057894
HistGradientBoosting,0.004132079185297546,0.031029923379642062,0.9812723828452008
KNN(k=5),0.0035757281610194172,0.0348148672536142,0.9764250596074785
LinearRegression,0.05631230963948962,0.06924511501520832,0.9067391438390898
Ridge(alpha=1.0),0.05631231176946322,0.06924511811565119,0.9067391354875992
"ElasticNet(alpha=1e-3,l1=0.5)",0.056312328414576486,0.06924534898645776,0.9067385136026926
Lasso(alpha=1e-3),0.05631234917331323,0.06924558250279711,0.9067378845895403
