model,MAE,RMSE,R2
DecisionTree,0.006204588560031479,0.03720867398762106,-240.78606253595964
GradientBoosting,0.007852488654481944,0.038977916218087445,-264.3261845863694
RandomForest,0.009759354967763086,0.039091438031447254,-265.8739416090771
HistGradientBoosting,0.009566041339492086,0.04187928200839803,-305.29600411831257
KNN(k=5),0.0067408858744354835,0.04530798451635046,-357.50264415911556
SVR(RBF),0.0748982348367111,0.0847949348594221,-1254.6907588457327
Lasso(alpha=1e-3),0.15960069864040138,0.1870558022827403,-6109.619541477711
"ElasticNet(alpha=1e-3,l1=0.5)",0.15962541978234754,0.187079725868676,-6111.182682297964
Ridge(alpha=1.0),0.159649905562088,0.18710342232767985,-6112.731179962042
LinearRegression,0.15965022026179843,0.18710372645656034,-6112.7510552129315
