model,MAE,RMSE,R2,features
LinearRegression,0.034691652039725566,0.05982088467726799,-0.0024350631401253153,resistance_only
Ridge(alpha=1.0),0.034691652035425506,0.05982088467679008,-0.00243506312410835,resistance_only
Lasso(alpha=1e-3),0.03469103646167738,0.05982081615194281,-0.002432766545894083,resistance_only
"ElasticNet(alpha=1e-3,l1=0.5)",0.03469134399313782,0.05982085040118043,-0.0024339143927494256,resistance_only
SVR(RBF),0.032594380590276806,0.059643722774478915,0.0034936465200174904,resistance_only
KNN(k=5),0.026878515777891587,0.05902402171009087,0.0240935656786031,resistance_only
DecisionTree,0.027796176363685532,0.056853208645289324,0.09455818648035486,resistance_only
RandomForest,0.026864030725388018,0.0596131501286266,0.004514978731003039,resistance_only
GradientBoosting,0.027377735435504078,0.05812239311956283,0.05368099699180373,resistance_only
HistGradientBoosting,0.02631838948932215,0.056700408446659745,0.09941862526305523,resistance_only
LinearRegression,0.0387721891338267,0.05882222096854676,0.030755327239538444,temp_only
Ridge(alpha=1.0),0.03877218887902263,0.05882222095344396,0.03075532773725187,temp_only
Lasso(alpha=1e-3),0.03876893133962949,0.05882202814689832,0.03076168167655724,temp_only
"ElasticNet(alpha=1e-3,l1=0.5)",0.03877056011585004,0.058822124481808166,0.030758506962409338,temp_only
SVR(RBF),0.015940973842898283,0.02606914718121043,0.8096274907923078,temp_only
KNN(k=5),0.003564827553718123,0.01374903205355941,0.9470464799252434,temp_only
DecisionTree,0.0068413273224978656,0.01669027099679417,0.9219671690900272,temp_only
RandomForest,0.0034673716507589826,0.013800776477510907,0.9466471491994257,temp_only
GradientBoosting,0.004026119324005051,0.014136541118532329,0.9440194826632862,temp_only
HistGradientBoosting,0.004174624541964366,0.014063496885170177,0.9445964964832907,temp_only
LinearRegression,0.03996540849847899,0.05756465043139314,0.07175561777284833,resistance+temp
Ridge(alpha=1.0),0.039965407615225344,0.05756465036951127,0.07175561976856948,resistance+temp
Lasso(alpha=1e-3),0.039959431461576954,0.05756425329441928,0.07176842559468255,resistance+temp
"ElasticNet(alpha=1e-3,l1=0.5)",0.03996242156215431,0.05756445154905346,0.07176203181668406,resistance+temp
SVR(RBF),0.016132762214078333,0.03534387523711998,0.6500718207010565,resistance+temp
KNN(k=5),0.0013609966488453975,0.0028688997161470174,0.997694414027375,resistance+temp
DecisionTree,0.0049430138922152795,0.009650436226245507,0.9739117783096255,resistance+temp
RandomForest,0.002205221502260888,0.007660386584474306,0.9835618870520605,resistance+temp
GradientBoosting,0.0025146379507298136,0.005083374125404054,0.9927613974048807,resistance+temp
HistGradientBoosting,0.0024023693078401285,0.005627993611389576,0.9911272595460608,resistance+temp
