model,MAE,RMSE,R2
RandomForest,2.73E-05,4.96E-05,0.999889472
KNN(k=5),3.43E-05,6.19E-05,0.99982844
HistGradientBoosting,8.55E-05,0.000130586,0.999235228
GradientBoosting,0.0001849,0.000272922,0.996659483
DecisionTree,0.00048936,0.000666957,0.980050506
SVR(RBF),0.000689759,0.000851614,0.967474716
LinearRegression,0.002156887,0.002542176,0.710167495
Ridge(alpha=1.0),0.002156887,0.002542176,0.710167486
"ElasticNet(alpha=1e-3,l1=0.5)",0.00215927,0.002542555,0.710080993
Lasso(alpha=1e-3),0.00216187,0.002543118,0.709952619
