model,MAE,RMSE,R2
KNN(k=5),0.0013609966488453975,0.002868899716147017,0.997694414027375
GradientBoosting,0.0025169649690261076,0.005064332205649387,0.9928155263056002
HistGradientBoosting,0.0024023693078401285,0.005627993611389576,0.9911272595460608
RandomForest,0.002207781009962346,0.00768183421624116,0.9834697109880448
DecisionTree,0.0049430138922152795,0.009650436226245507,0.9739117783096255
SVR(RBF),0.0161435629737941,0.0354254267580083,0.6484551276818171
Lasso(alpha=1e-3),0.039959431461576954,0.05756425329441928,0.07176842559468255
"ElasticNet(alpha=1e-3,l1=0.5)",0.03996242156215431,0.05756445154905346,0.07176203181668406
Ridge(alpha=1.0),0.039965407615225296,0.05756465036951127,0.0717556197685697
LinearRegression,0.03996540849847899,0.05756465043139314,0.07175561777284833
