model,MAE,RMSE,R2,MAE_T,MAE_ox,MAE_state,RMSE_T,RMSE_ox,RMSE_state,R2_T,R2_ox,R2_state
HistGradientBoosting,2.44937546183579,5.137492296584672,0.6231815213486986,7.275751054586055,0.0013030696732945026,0.0710722612480196,15.214503155941369,0.002444655412738232,0.1955290783999098,0.8428009572495656,0.731977510685693,0.2947660961108374
DecisionTree,2.573441370943472,5.503681956357945,0.5993033359159243,7.645197762542858,0.001652273508944711,0.07347407677861358,16.30966463271283,0.0025525770908743656,0.19882865927013169,0.8193556387468237,0.7077909465045659,0.2707634224963834
GradientBoosting,2.516023352746975,5.436798452177541,0.5844168768532344,7.4740605467585395,0.0013553044790675694,0.07265420700331757,16.098700702702537,0.002421099916826915,0.20927355391325866,0.8239986494099556,0.7371176921596951,0.19213428899005247
KNN(k=5),2.6168387192105267,5.6161285713178435,0.5625884927064391,7.778037988037934,0.0013436049498481233,0.07113456464379944,16.636007935778245,0.002641167374286918,0.20973661080100017,0.8120542170735217,0.6871560353864908,0.1885552256593045
RandomForest,2.7886206964066123,5.868423958314882,0.5354418473620274,8.293000234983744,0.001439655798354476,0.07142219843773943,17.389120242350916,0.002787914122366872,0.2133637184713604,0.7946524295243305,0.6514262193474738,0.16024689321427787
SVR(RBF),2.5798360235022373,5.157965142959864,0.48678915186315624,7.679522403955831,0.001831075820232324,0.05815459073064873,15.231633769760535,0.002685002283184575,0.23957665683587334,0.8424467646614653,0.6766854481950817,-0.058764757267078194
Lasso(alpha=1e-3),7.560067020965381,8.701668566783342,0.21485922390057613,22.586541512160075,0.004062447052693843,0.0895971036833741,25.879411548768562,0.004723757710925647,0.22087039387053592,0.5451762423350867,-0.0007167311788416342,0.10011816054548339
"ElasticNet(alpha=1e-3,l1=0.5)",7.560066982278979,8.701668555948352,0.21485570634225448,22.586541501682653,0.004062470910272242,0.08959697424400984,25.87941155922542,0.004723783947089548,0.22087032467254525,0.5451762419675337,-0.0007278473463914192,0.1001187244056212
LinearRegression,7.560066943059858,8.701668545753522,0.21485213524400906,22.586541489647388,0.004062494767887026,0.0895968447642982,25.879411571237167,0.004723810562326081,0.22087025546107447,0.5451762415453272,-0.0007391241887253486,0.10011928837542539
Ridge(alpha=1.0),7.560066943341152,8.70166854548366,0.21485213522576205,22.586541490469987,0.004062494767867716,0.08959684478560138,25.879411570416213,0.004723810562304401,0.22087025547246092,0.5451762415741832,-0.0007391241795398074,0.10011928828264272
