model,MAE,RMSE,R2,MAE_T,MAE_ox,MAE_state,RMSE_T,RMSE_ox,RMSE_state,R2_T,R2_ox,R2_state
HistGradientBoosting,1.4544362379338658,4.696026863089137,0.5591413160292963,4.27689078581803,0.0008750090002470178,0.08554291898332003,13.872851329648022,0.002016079696442316,0.21321317992294603,0.8467113057349503,0.8116240794536859,0.01908856289925276
RandomForest,1.5320899070527105,4.898306040277229,0.5372520999258212,4.5139531727674225,0.0008852283005434523,0.08143132009016625,14.475966474771816,0.0021122496914403014,0.2168393963684342,0.8330932894948077,0.7932238206998247,-0.014560810417168613
KNN(k=5),1.5369403667049364,4.772377233014803,0.537128818826949,4.527373215862955,0.0008837816877514425,0.0825641025641025,14.095771102208854,0.0020376292681694172,0.21932296756738456,0.8417454016385649,0.8075755136307594,-0.03793445878847734
SVR(RBF),1.8302562676413625,4.519417421582413,0.5367817593149766,5.4399673750917055,0.001389245324213633,0.049412182508167854,13.335630149415385,0.002069015408416014,0.2205530999234386,0.8583535335006744,0.8016019288159386,-0.049610184371683186
DecisionTree,1.738792874327945,5.6131458607688565,0.4591036050092469,5.117933678021211,0.001128799569555702,0.09731614539306849,16.605721913151633,0.002311499525668302,0.23140416962927007,0.7803687253124996,0.7523732184835191,-0.15543112876827814
GradientBoosting,1.622711843263392,5.3979180136015374,0.45442821168091546,4.789224105913098,0.00094227853253523,0.07796914534454344,15.955826403974356,0.002254091573208875,0.23567354525704792,0.7972236666060921,0.7645204991453098,-0.19845953070865563
Ridge(alpha=1.0),7.059494120883417,8.200511498818878,0.20142379586959303,21.0817987184105,0.003921964220997935,0.09276168001875242,24.383337995451413,0.00449586536093024,0.21370063564429054,0.5264509407698668,0.06322220180175642,0.0145982450371559
LinearRegression,7.059494135872356,8.200511503432933,0.20142379565943316,21.08179876334594,0.003921964218526134,0.09276168005259945,24.383338009261653,0.004495865360438551,0.21370063567670805,0.5264509402334492,0.06322220200665718,0.014598244738193156
"ElasticNet(alpha=1e-3,l1=0.5)",7.0594941333916275,8.20051147890407,0.20141758360455167,21.081798595106555,0.003922196134383219,0.09276160893394342,24.3833379575558,0.004495911592516122,0.21370056756389616,0.5264509422418089,0.06320293567947388,0.014598872892372272
Lasso(alpha=1e-3),7.0594941367415975,8.200511456237603,0.20141134383318268,21.081798444347058,0.003922428049279655,0.09276153782845366,24.38333791122218,0.0044959580227709,0.21370049946785546,0.5264509440415003,0.06318358656636469,0.014599500891683048
