model,MAE,RMSE,R2,features
LinearRegression,0.1672667850764484,0.179588238628216,0.3516658548341345,resistance_only
Ridge,0.1672667850527521,0.17958823867781823,0.35166585447599485,resistance_only
Lasso,0.16726677115206706,0.17958826778996215,0.35166564427961877,resistance_only
ElasticNet,0.16726677811201843,0.1795882532101327,0.3516657495493457,resistance_only
SVR(RBF),0.08391076453165837,0.11562191945061101,0.7312654764866999,resistance_only
KNN(k=5),0.05230507416326315,0.10711194259759704,0.7693683508805643,resistance_only
DecisionTree,0.04594417000934712,0.09860776710791647,0.8045366390346227,resistance_only
RandomForest,0.057583752827593655,0.11857222599945746,0.7173759867833903,resistance_only
GradientBoosting,0.06273051657973652,0.13032291250669853,0.658583373217956,resistance_only
HistGradientBoosting,0.0530540119174211,0.10373303713244049,0.7836896501065531,resistance_only
LinearRegression,0.05311063598736141,0.06523674968130262,0.9144484775499978,resistance_temp
Ridge,0.05311063802839208,0.06523675643308863,0.9144484598414024,resistance_temp
Lasso,0.05311077838420653,0.06523760824516105,0.9144462256926044,resistance_temp
ElasticNet,0.053110706868192824,0.06523717969007145,0.9144473497186371,resistance_temp
SVR(RBF),0.002518970072174226,0.003922517899675147,0.9996907049418734,resistance_temp
KNN(k=5),0.0019007748641052663,0.0044086146601039974,0.9996092964172042,resistance_temp
DecisionTree,0.003645889107206418,0.00552878059295259,0.9993855283878392,resistance_temp
RandomForest,0.00201235420587706,0.0051133824287262425,0.9994743947890534,resistance_temp
GradientBoosting,0.002050813520062528,0.004359013082481971,0.9996180386165389,resistance_temp
HistGradientBoosting,0.003195035907390384,0.0053567739646216425,0.9994231674552664,resistance_temp
