model,resistance_only,resistance_temp
SVR(RBF),0.08391076453165837,0.002518970072174226
GradientBoosting,0.06273051657973652,0.002050813520062528
KNN(k=5),0.05230507416326315,0.0019007748641052663
RandomForest,0.057583752827593655,0.00201235420587706
HistGradientBoosting,0.0530540119174211,0.003195035907390384
DecisionTree,0.04594417000934712,0.003645889107206418
LinearRegression,0.1672667850764484,0.05311063598736141
Ridge,0.1672667850527521,0.05311063802839208
ElasticNet,0.16726677811201843,0.053110706868192824
Lasso,0.16726677115206706,0.05311077838420653
