model,resistance_only,resistance_temp,delta_R2
SVR(RBF),0.7312654764866999,0.9996907049418734,0.26842522845517347
GradientBoosting,0.658583373217956,0.9996180386165389,0.34103466539858285
KNN(k=5),0.7693683508805643,0.9996092964172042,0.23024094553663987
RandomForest,0.7173759867833903,0.9994743947890534,0.2820984080056631
HistGradientBoosting,0.7836896501065531,0.9994231674552664,0.21573351734871327
DecisionTree,0.8045366390346227,0.9993855283878392,0.19484888935321654
LinearRegression,0.3516658548341345,0.9144484775499978,0.5627826227158633
Ridge,0.35166585447599485,0.9144484598414024,0.5627826053654076
ElasticNet,0.3516657495493457,0.9144473497186371,0.5627816001692914
Lasso,0.35166564427961877,0.9144462256926044,0.5627805814129856
