model,resistance_only,resistance_temp
SVR(RBF),0.11562191945061101,0.003922517899675147
GradientBoosting,0.13032291250669853,0.004359013082481971
KNN(k=5),0.10711194259759704,0.0044086146601039974
RandomForest,0.11857222599945746,0.0051133824287262425
HistGradientBoosting,0.10373303713244049,0.0053567739646216425
DecisionTree,0.09860776710791647,0.00552878059295259
LinearRegression,0.179588238628216,0.06523674968130262
Ridge,0.17958823867781823,0.06523675643308863
ElasticNet,0.1795882532101327,0.06523717969007145
Lasso,0.17958826778996215,0.06523760824516105
