model,MAE,RMSE,R2
HistGradientBoosting,20.943918089073954,34.663330213419,0.9555828695088453
KNN(k=5),19.55387568421053,36.16639401201405,0.9516473425192384
DecisionTree,20.4784129858575,37.02527645998093,0.949323507370645
RandomForest,20.799022146469852,39.440257772134714,0.9424971435511551
GradientBoosting,22.24202853728005,42.444824189004166,0.9334022729165
SVR(RBF),58.40640186724147,73.02585467914115,0.8028652318430223
Ridge,87.40578805391101,99.48326401967641,0.6341441690380445
Lasso,87.40578810234636,99.48326404645253,0.6341441688411028
ElasticNet,87.40578812465418,99.48326405878478,0.6341441687503976
LinearRegression,87.40578816864712,99.48326408310506,0.634144168571519
