model,MAE,RMSE,R2
DecisionTree,0.04594417000934712,0.09860776710791647,0.8045366390346226
HistGradientBoosting,0.0530540119174211,0.10373303713244049,0.7836896501065531
KNN(k=5),0.0523328970716842,0.10713243445715961,0.7692800969785584
SVR(RBF),0.08390973536151547,0.11563222134192191,0.7312175859621155
RandomForest,0.057583752827593655,0.11857222599945745,0.7173759867833902
GradientBoosting,0.06273051657973652,0.13032291250669853,0.658583373217956
LinearRegression,0.1672667850764484,0.17958823862821596,0.3516658548341345
Ridge,0.1672667850527521,0.17958823867781823,0.35166585447599474
ElasticNet,0.16726677811201843,0.17958825321013266,0.3516657495493456
Lasso,0.16726677115206706,0.17958826778996215,0.35166564427961866
