model,MAE,RMSE,R2
KNN(k=5),0.02484936517952632,0.06317473289383295,0.9197712655562496
RandomForest,0.02325752637800055,0.06363326961708667,0.9186024017862239
HistGradientBoosting,0.035346060432700985,0.07167689929862316,0.8967234950498739
DecisionTree,0.03065131021200472,0.07760870676597198,0.8789223436137429
GradientBoosting,0.03656591087183207,0.08193804845902632,0.8650371176152541
SVR(RBF),0.07599970189934548,0.11081440711403352,0.7531486155859417
LinearRegression,0.16388400728443664,0.17685658555368758,0.37123901580911733
ElasticNet,0.16437099445207057,0.17710745950716605,0.36945393518448955
Lasso,0.16476004633838917,0.1773828072664693,0.3674917997775199
Ridge,0.16477673009857707,0.17739665701592533,0.3673930255814961
