features,n_features,best_model,R2,MAE_total_mg,MAE_inside_6k_12ks_mg,MAE_outside_mg
[cumR] only,1,GradientBoosting,0.9996386018801013,0.002045405234049109,0.005239583698279799,0.0002239315643638389
[R],1,DecisionTree,0.8045366390346226,0.04594417000934712,0.11400278006540893,0.007133888241840784
"[R, dR/dt]",2,KNN(k=5),0.9197712655562496,0.02484936517952632,0.06372754600855073,0.00267916288859504
"[R, dR/dt, d2R/dt2]",3,RandomForest,0.9168113282694821,0.024427670054148566,0.0579810720509854,0.005293911890663097
"[R, dR/dt, R_min_so_far]",3,RandomForest,0.9902290527982123,0.00515052654038746,0.01175547366188943,0.0013840690909359265
"[R, dR/dt, cumR]",3,GradientBoosting,0.9996304830841414,0.0020223662118987146,0.005170862737310652,0.000226942573440668
"[R, dR/dt, dR/dt_smooth10, dR/dt_smooth30]",4,RandomForest,0.9719258216744724,0.009798260642957694,0.023359629068491223,0.002064918317653448
"[R, R_lag5, R_lag20, R_lag50, dR/dt]",5,KNN(k=5),0.9987837341275067,0.003463607986157891,0.008957969376521737,0.0003304597552892507
"[R, dR/dt, R_min_so_far, cumR]",4,SVR(RBF),0.9997133123156944,0.0026850612186280643,0.0034829628203425413,0.002230059478807412
"[T] (ceiling, not pure-R)",1,SVR(RBF),0.999656278153314,0.0030482003820024267,0.004627383935149569,0.002147674223596203
"[R, T] (ceiling, not pure-R)",2,SVR(RBF),0.9996887094805287,0.0025375501962867845,0.0032870471409816395,0.0021101511121219495
