model,MAE,RMSE,R2
GradientBoosting,0.009255055081164034,0.009448826726171205,-23.633935172732237
RandomForest,0.011582699251958123,0.011738109043075817,-37.0166901931513
KNN(k=5),0.01195328397377193,0.012103936537484816,-39.423256770115366
DecisionTree,0.013647711519486218,0.013779851656129822,-51.39225714312166
HistGradientBoosting,0.020570794298564735,0.020658699378704615,-116.75625252088409
Lasso,0.1064028810653384,0.1322632405576808,-4825.76708498378
ElasticNet,0.10642372936145886,0.13228935599563468,-4827.673367945232
Ridge,0.10644438504268748,0.13231523262263498,-4829.562590236593
LinearRegression,0.10644466537803271,0.1323155837108976,-4829.588225320987
SVR(RBF),0.19066630219610287,0.23689329685626892,-15483.014470796477
