model,MAE,RMSE,R2
DecisionTree,0.04594417000934712,0.09860776710791647,0.8045366390346227
HistGradientBoosting,0.0530540119174211,0.10373303713244049,0.7836896501065531
KNN(k=5),0.05233289707168421,0.10713243445715961,0.7692800969785585
SVR(RBF),0.08388037225314574,0.11558999981760361,0.7314138345724395
RandomForest,0.057583752827593655,0.11857222599945746,0.7173759867833903
GradientBoosting,0.06273051657973652,0.13032291250669853,0.658583373217956
LinearRegression,0.1672667850764484,0.179588238628216,0.3516658548341345
Ridge,0.1672667850527521,0.17958823867781823,0.35166585447599485
ElasticNet,0.16726677811201843,0.1795882532101327,0.3516657495493457
Lasso,0.16726677115206706,0.17958826778996215,0.35166564427961877
