model,MAE,RMSE,R2
SVR(RBF),0.0030644035688542387,0.004145805775347168,0.9996544896852413
GradientBoosting,0.00205008241862323,0.004250964624738316,0.9996367395683892
RandomForest,0.0019342383094754282,0.004709391696461424,0.9995541664569706
KNN(k=5),0.0020135967722105306,0.004748761063193961,0.9995466811801518
HistGradientBoosting,0.0030781793500047065,0.005107832917291892,0.9994755350398956
DecisionTree,0.003632807992425555,0.005491978846425089,0.9993936814934004
LinearRegression,0.07406378820808902,0.08412044630553818,0.8577519737224615
Ridge,0.07406378918920133,0.08412044930820058,0.857751963567432
ElasticNet,0.07406386460285212,0.08412068015442925,0.857751182842458
Lasso,0.07406394081218753,0.08412091352694462,0.8577503935713713
