model,MAE,RMSE,R2
HistGradientBoosting,0.03937087647897166,0.08615658764162976,0.8515989000625648
GradientBoosting,0.03991678610207491,0.08655314157845723,0.8502296612241035
DecisionTree,0.040589675797368864,0.08729184647510221,0.8476622626673662
KNN(k=5),0.041362729029394925,0.09419360873811315,0.8226206691841008
RandomForest,0.041025266125632315,0.09431894141830698,0.8221483182963728
SVR(RBF),0.07079451895894136,0.11320210693485866,0.7438058784194248
LinearRegression,0.1678367264028506,0.17968240292194704,0.35453717549697117
Ridge(alpha=1.0),0.16783672640260466,0.1796824029223704,0.3545371754939297
"ElasticNet(alpha=1e-3,l1=0.5)",0.16783672310205297,0.17968240860782403,0.35453713464686887
Lasso(alpha=1e-3),0.16783671980339784,0.17968241429787493,0.35453709376677767
