model,MAE,RMSE,R2
KNN(k=5),0.008402670889564867,0.008611500126173139,-19.871589760427504
RandomForest,0.00841373155030823,0.00862229290533506,-19.923939203910642
DecisionTree,0.0089257048594426,0.009122568913558088,-22.42244408981522
GradientBoosting,0.013350733407756192,0.013483142766792775,-50.16584743692322
HistGradientBoosting,0.014650541580795715,0.014771304104762156,-60.409503195306314
SVR(RBF),0.24333511497087282,0.24642340044935268,-17089.77661516225
LinearRegression,0.32879173035158926,0.32882216448320617,-30430.269691378377
Ridge(alpha=1.0),0.32879173037865816,0.32882216451025054,-30430.26969638409
"ElasticNet(alpha=1e-3,l1=0.5)",0.3287927112992429,0.3288231445427636,-30430.451093390617
Lasso(alpha=1e-3),0.3287936919167119,0.32882412427245333,-30430.632434887088
