model,MAE,RMSE,R2
SVR(RBF),0.0025375501962867845,0.00393515089941184,0.9996887094805287
GradientBoosting,0.001990667462644644,0.00414330779048908,0.9996549059225492
KNN(k=5),0.001900774864105262,0.004408614660103999,0.9996092964172042
RandomForest,0.002038109489209476,0.005196003478127056,0.9994572723110763
HistGradientBoosting,0.0031950359073903843,0.005356773964621645,0.9994231674552664
DecisionTree,0.003645889107206418,0.005528780592952592,0.9993855283878392
LinearRegression,0.05311063598736142,0.06523674968130265,0.9144484775499977
Ridge,0.05311063802839208,0.06523675643308861,0.9144484598414024
ElasticNet,0.0531107068681928,0.06523717969007144,0.9144473497186371
Lasso,0.05311077838420652,0.06523760824516105,0.9144462256926044
