model,MAE,RMSE,R2
DecisionTree,0.04594417000934712,0.09860776710791647,0.8045366390346226
HistGradientBoosting,0.0530540119174211,0.10373303713244049,0.7836896501065531
KNN(k=5),0.05230507416326315,0.10711194259759704,0.7693683508805643
SVR(RBF),0.08389331657895059,0.11561547706459047,0.7312954231146831
RandomForest,0.057583752827593655,0.11857222599945745,0.7173759867833902
GradientBoosting,0.06273051657973651,0.13032291250669853,0.658583373217956
LinearRegression,0.1672667850764484,0.17958823862821596,0.3516658548341345
Ridge,0.16726678505275208,0.1795882386778182,0.35166585447599485
ElasticNet,0.16726677811201843,0.17958825321013266,0.3516657495493456
Lasso,0.16726677115206706,0.17958826778996215,0.35166564427961866
