model,MAE,RMSE,R2
SVR(RBF),0.0030345972127948416,0.004114955572426049,0.9996596126481727
GradientBoosting,0.0020500824186232276,0.004250964624738312,0.9996367395683892
RandomForest,0.0019342383094754297,0.004709391696461428,0.9995541664569706
KNN(k=5),0.0020135967722105276,0.004748761063193965,0.9995466811801518
HistGradientBoosting,0.0030781793500047083,0.005107832917291893,0.9994755350398956
DecisionTree,0.003632807992425555,0.00549197884642509,0.9993936814934004
LinearRegression,0.07406378820808901,0.0841204463055382,0.8577519737224615
Ridge,0.07406378918920131,0.08412044930820056,0.857751963567432
ElasticNet,0.07406386460285211,0.08412068015442925,0.857751182842458
Lasso,0.07406394081218752,0.08412091352694459,0.8577503935713713
