model,MAE,RMSE,R2
GradientBoosting,0.002045405234049105,0.004240054003787461,0.9996386018801013
KNN(k=5),0.001919993259105262,0.00461882252205662,0.9995711497550691
RandomForest,0.0018947121023210561,0.004770485645717479,0.9995425240163718
HistGradientBoosting,0.003116987179516577,0.005158536195925417,0.9994650710808661
DecisionTree,0.003682875323207931,0.005577841857692382,0.9993745746116901
SVR(RBF),0.008054898534546037,0.011156662765879637,0.997497859316415
LinearRegression,0.11957855908998585,0.1326046358527871,0.6465235153142606
Ridge,0.11957855908998588,0.13260463585278712,0.6465235153142606
ElasticNet,0.11957855914655746,0.13260463586396667,0.6465235152546591
Lasso,0.11957855920312913,0.13260463587514623,0.6465235151950577
