model,R,T,cumR
GradientBoosting,0.658583373217956,0.9996367395683892,0.9996386018801013
KNN(k=5),0.7693683508805643,0.9995466811801518,0.9995711497550691
RandomForest,0.7173759867833902,0.9995541664569706,0.9995425240163718
HistGradientBoosting,0.7836896501065531,0.9994755350398956,0.9994650710808661
DecisionTree,0.8045366390346226,0.9993936814934004,0.9993745746116901
SVR(RBF),0.7312954231146831,0.9996596126481727,0.997497859316415
LinearRegression,0.3516658548341345,0.8577519737224615,0.6465235153142606
Ridge,0.35166585447599485,0.857751963567432,0.6465235153142606
ElasticNet,0.3516657495493456,0.857751182842458,0.6465235152546591
Lasso,0.35166564427961866,0.8577503935713713,0.6465235151950577
