model,MAE,RMSE,R2
DecisionTree,0.009058187983771919,0.0092560818651942,-22.639179505287274
KNN(k=5),0.011953283973771918,0.012103936537484802,-39.423256770115444
GradientBoosting,0.017472305750164632,0.01757571478412935,-84.2322624978818
RandomForest,0.03706168969588592,0.0371105527452767,-378.99061487080337
SVR(RBF),0.21911268545091542,0.22599102773147242,-14090.603627562974
HistGradientBoosting,0.29682464539228254,0.29683075041882057,-24309.607097123782
LinearRegression,0.32917849558463647,0.32920884691050956,-29902.430942764677
Ridge,0.3291784968158807,0.3292088481406473,-29902.431166241902
ElasticNet,0.3291794716356061,0.3292098220844064,-29902.60810136017
Lasso,0.32918044736030094,0.3292107969323393,-29902.78520126273
