model,MAE,RMSE,R2
KNN(k=5),0.22932254977789468,0.29389236313206785,-23830.67821885385
GradientBoosting,0.2788665353554213,0.3180930148617332,-27917.127677767563
DecisionTree,0.25475632621864347,0.32403058808981766,-28969.10320588456
RandomForest,0.28505176368577656,0.32658249780268206,-29427.209357122985
LinearRegression,0.3271628602604599,0.3272115040864282,-29540.677498291545
ElasticNet,0.3275367678196346,0.32758030124172144,-29607.307346279063
Ridge,0.327657519261465,0.32769957161867536,-29628.871749549722
Lasso,0.3277700726649263,0.32781082474728634,-29648.993689156745
HistGradientBoosting,0.30751878682730244,0.34389434247591294,-32629.827445173803
SVR(RBF),0.5690611500917341,0.5709694596047885,-89949.54156223836
