model,MAE,RMSE,R2
SVR(RBF),0.002507081486534545,0.003923732301535711,0.999690513398254
GradientBoosting,0.0020518460535656475,0.004358809115993275,0.9996180743610976
KNN(k=5),0.0019007748641052663,0.0044086146601039974,0.9996092964172042
RandomForest,0.002013221285734348,0.005120796749376748,0.9994728694461239
HistGradientBoosting,0.003195035907390384,0.0053567739646216425,0.9994231674552664
DecisionTree,0.003645889107206418,0.00552878059295259,0.9993855283878392
LinearRegression,0.05311063598736142,0.06523674968130265,0.9144484775499977
Ridge,0.05311063802839208,0.06523675643308861,0.9144484598414024
ElasticNet,0.0531107068681928,0.06523717969007144,0.9144473497186371
Lasso,0.05311077838420653,0.06523760824516105,0.9144462256926044
