model,MAE,RMSE,R2
DecisionTree,0.00905818798377193,0.009256081865194214,-22.63917950528724
KNN(k=5),0.01195328397377193,0.012103936537484816,-39.423256770115366
GradientBoosting,0.017472305750164643,0.017575714784129365,-84.23226249788158
RandomForest,0.03706168969588593,0.037110552745276706,-378.9906148708019
SVR(RBF),0.2198828566145752,0.22669751256650872,-14178.84664880012
HistGradientBoosting,0.29682464539228254,0.29683075041882057,-24309.60709712368
LinearRegression,0.32917849558463647,0.32920884691050956,-29902.43094276455
Ridge,0.3291784968158807,0.3292088481406473,-29902.431166241775
ElasticNet,0.3291794716356062,0.3292098220844064,-29902.608101360045
Lasso,0.329180447360301,0.32921079693233934,-29902.785201262603
