model,MAE,RMSE,R2
GradientBoosting,0.009240832794521994,0.009434896537966921,-23.561354224837185
RandomForest,0.011582699251958123,0.011738109043075817,-37.0166901931513
KNN(k=5),0.01195328397377193,0.012103936537484816,-39.423256770115366
DecisionTree,0.013647711519486218,0.013779851656129822,-51.39225714312166
HistGradientBoosting,0.029245956679594544,0.029307853282875357,-235.99874261701228
LinearRegression,0.07598406742890802,0.0914822699063028,-2308.148634764912
Ridge,0.07598412477626294,0.09148232908466802,-2308.151622265891
ElasticNet,0.07599093078525218,0.09148935271436949,-2308.506209838828
Lasso,0.07599777894502867,0.0914964204743114,-2308.8630528044177
SVR(RBF),0.14618639429835992,0.17527679733705817,-8475.701356004894
