model,MAE,RMSE,R2
DecisionTree,87.11905000000002,100.38404815292813,-3.051480647531049
KNN(k=5),90.11322999999993,102.9933127523325,-3.264836759093428
GradientBoosting,90.59771091777384,103.4174718034018,-3.30003698749392
RandomForest,97.3517693911248,109.38279231327763,-3.810413057604035
HistGradientBoosting,178.66570913890658,185.49572467519363,-12.83414001652219
LinearRegression,201.9253339258555,206.74025804998857,-16.184403677915704
ElasticNet,201.92533512316083,206.74025923541748,-16.184403874983165
Ridge,201.9253355969307,206.7402597044879,-16.184403952962125
Lasso,201.92533587763117,206.74025998240398,-16.184403999163308
SVR(RBF),205.38013096618562,209.98945908972206,-16.728800288823905
